dzoi,pubmed_id,title,subtype,affilname,affiliation_city,affiliation_country,author_names,publicationName,aggregationType,description,authkeywords,citedby_count,openaccess,score
10.1155/2020/4280156,,Exponential Disruptive Technologies and the Required Skills of Industry 4.0,re,Busitema University;Moi University;AgroWays Uganda Limited,Busia;Eldoret;Jinja,Uganda;Kenya;Uganda,"Bongomin, Ocident;Gilibrays Ocen, Gilbert;Oyondi Nganyi, Eric;Musinguzi, Alex;Omara, Timothy",Journal of Engineering (United Kingdom),Journal,"The 21st century has witnessed precipitous changes spanning from the way of life to the technologies that emerged. We have entered a nascent paradigm shift (industry 4.0) where science fictions have become science facts, and technology fusion is the main driver. Thus, ensuring that any advancement in technology reach and benefit all is the ideal opportunity for everyone. In this study, disruptive technologies of industry 4.0 were explored and quantified in terms of the number of their appearances in published literature. The study aimed at identifying industry 4.0 key technologies which have been ill-defined by previous researchers and to enumerate the required skills of industry 4.0. Comprehensive literature survey covering the field of engineering, production, and management was done in multidisciplinary databases: Google Scholar, Science Direct, Scopus, Sage, Taylor & Francis, and Emerald Insight. From the electronic survey, 35 disruptive technologies were quantified and 13 key technologies: Internet of Things, Big Data, 3D printing, Cloud computing, Autonomous robots, Virtual and Augmented reality, Cyber-physical system, Artificial intelligence, Smart sensors, Simulation, Nanotechnology, Drones, and Biotechnology were identified. Both technical and personal skills to be imparted into the human workforce for industry 4.0 were reported. The review identified the need to investigate the capability and the readiness of developing countries in adapting industry 4.0 in terms of the changes in the education systems and industrial manufacturing settings. This study proposes the need to address the integration of industry 4.0 concepts into the current education system.",,34,1,Not relevant
10.3991/ijet.v16i18.23159,,Critical Success Factors in Accepting Technology in the Classroom,ar,Universidade Católica Portuguesa,Porto,Portugal,"Veiga, Francisco José Miranda;de Andrade, António Manuel Valente",International Journal of Emerging Technologies in Learning,Journal,"The adoption of technology on the individual and organizational level may be a necessary condition, but it is not sufficient for the digital transformation, seen as the mobilizing challenge to do something new and different. Without a strategic vision, we take the risk of acquiring resources to do the same as before, essentially changing the format. This inability imprisons the school to inconsequential models, resources and strategies. Interdisciplinary, social and project-based learning that the most advanced technology provides can be adopted. Augmented and virtual reality, the internet of things, robots, artificial intelligence and digital assistants can bring innovation to teaching. But also mobiles, games, simulators and multimedia can inspire collaborative creativity. On the other hand, the pandemic, in terms of the adoption of technology, constitutes a kind of insurrection against the fatalism that it is not possible to restart the system, that is, rethink the school. This study aims at investigating the degree of acceptance, materialized in the use of technology, by teachers of primary and secondary education, in the context of the classroom. As a methodological support to this study, the model “Unified Theory of Acceptance and Use of Technology” (UTAUT)) was used and a questionnaire applied to teachers at our school, obtaining 90 responses. The analysis of the responses reveals that the expected adoption of information technologies currently has a global performance, which becomes the most significant positive influence on the motivation and involvement of teachers. That is, the availability of technology, the speed of access, the applications suited to the curriculum and to the pedagogical approach are, more and more, a harmonious set that is compatible with its mission. The study also clarifies that teachers intend to use ICT as they see in them a different didactic tool that allows different approaches, thus increasing, in general, the quality of teaching and learning.",Teacher Behaviour | Teaching | Technology | Technology Acceptance and Use (UTAUT),1,1,Not relevant
,,"CREATING VOLTAGE, CURRENT AND NAVIGATION MEASUREMENT SYSTEM ON AN AGV FOR MOTION CONTROLLING",ar,Miskolci Egyetem,Miskolc,Hungary,"Cservenák, Ákos",Academic Journal of Manufacturing Engineering,Journal,"The AGVs or mobile robots are well used in today's manufacturing engineering and also can be used in engineering's education in connection with the so-called Industry 4.0. The motion controlling of such vehicles are a crucial question. This paper describes the creating of a measurement system for an AGV in order to give feedback to its control system. For motion controlling and simulation between two points the further elements are necessary: 1. path planner, 2. trajectory planner, 3. velocity-voltage converter using velocity gained from trajectory planner, 4. motion controlling and simulation of a motor dynamical model using voltage from the converter, 5. simulation of the path and 6. data processing. In this paper the input data for 1st, the feedback elements for 4th-5th and supplementary element for 6th block are detailed. The paper highlights the background of the measurement system and the measured results.",AGV | Autonomous vehicle | Measurement | Mechatronics | Navigation,0,0,Not relevant
10.2507/30th.daaam.proceedings.158,,Intelligent robotronics – methodology for solving logical problems of service robots,cp,,,,"Pryanichnikov, V. E.;Chernyshev, V. V.;Davydov, O. I.;Katalinic, B.;Khelemendik, R. V.;Kharin, K. V.;Kuvshinov, S. V.;Roganov, A. A.;Travushkin, A. S.",Annals of DAAAM and Proceedings of the International DAAAM Symposium,Conference Proceeding,"The aim of the research was to find ways and means of unification of the hardware level of robotic and industrial systems, underwater robots, as well as combining these approaches with the developed technologies of intellectualization of sensor-control systems. The base of these works was the development of the integration, distributed software for a group development and control robotarium, including 3D-simulation, running in real time. Currently, 14 robots and manipulators, 4 industrial stands, 3 cameras with 3-coordinate control are involved into the joint research, and a system of tunable remote control of the realized workshop is created. A mechatronic complex was created-a joint distributed scientific and experimental laboratory-robotariums, which are actively used for scientific and educational purposes in the joint research on the agreement (05.03.2016) between KIAM Russian Academy of Sciences, IINET RSUH, MSTU ""Stankin"", TU Vienna, St.-Petersburg State Technical University and other organizations on the project ""Intelligent robotronics"".",Intelligent robotics | Mobile service robots | Sensorics | Underwater walking robots with supervisory control,1,1,Not relevant
10.1515/bams-2019-0011,,The use of LEGO Mindstorms to create a model of the surgical robot arm for the education of medical students,ar,Uniwersytet Jagielloński;Jagiellonian University Medical College,Krakow;Krakow,Poland;Poland,"Rudnik, Michał;Walecki, Piotr Krzysztof",Bio-Algorithms and Med-Systems,Journal,"The aim of the work is to assess the use of LEGO-based robotics in the education of medical students. Training on specialized robotic surgery simulators is available only to a small group of specialists. The LEGO Mindstorms was used to create a model of the surgical robot arm. The model is controlled by a specially prepared panel created in the LabVIEW. The functionality of the model of a surgical robot arm allows people who have not been using these robots to become familiar with the basics of their operation. Medical students using the arm will be able to observe structural problems: the stiffness of construction, or its utility, the range of movements and its limitations, motion and force control using different robotic manipulators. The use of a modular computer programming language and a modular building platform problem in LEGO Education contributes to the development of critical thinking and problem solving, and these skills are useful to physicians during their work.",education | LEGO | medical robots,0,0,Not relevant
10.1109/ICSTCC.2019.8885824,,Optimal control of the complete assembly/disassembly cycle for a mechatronics line prototype,cp,Universitatea Valahia din Targoviste;Universitatea Dunarea de Jos din Galati,Targoviste;Galati,;Romania,"Duca, Octavian;Gurgu, Valentin;Minca, Eugenia;Filipescu, Adrian;Dragomir, Florin;Dragomir, Otilia","2019 23rd International Conference on System Theory, Control and Computing, ICSTCC 2019 - Proceedings",Conference Proceeding,"The aim of this paper is to define a control strategy for complete manufacturing cycle of an assembly/disassembly educational mechatronics line (EML), assisted by a complex autonomous system (CAS), a wheeled mobile robot (WMR) equipped with robotic manipulator (RM). By reversibility we mean that the line is able to perform automatic disassembly of the product detected as defect. Disassembly starts after the assembly process and after the assembled piece fails the quality test, in order to recover the parts. The CAS is used only during disassembly, to transport the parts from the disassembling locations to the storage locations. The disassembly workstation, designed and implemented as a prototype structure, functions as an integrated system in the automized control of the SMART Assembly Mechatronic Line (SAML), on which the research was made. For the control of the complete cycle assembly/disassembly mechatronic line, was identified a strategy that will be subordinated to the concepts of energetical optimization and high productivity. For this purpose, the EML served by CAS, having a specific typology, are modelled by specialized hybrid instruments belonging to Petri Nets class: Timed Petri Nets (TPN), Hybrid Petri Nets (SHPN). The results of the simulations highlight the coherence of the control structure and the absence of blockages in the dynamics of the simulated processes: assembly, disassembly, recovery of the components in warehouses. Using these models and the optimization results, a real-time control structure has been designed and implemented, allowing automated assembly and disassembly, assisted by a CAS.",Assembly/disassembly mechatronics line | Balancing | Petri nets | Robotic manipulator | Wheeled mobile robot,3,0,Not relevant
10.1109/LACLO.2016.7751746,,"An IoT computational robotics learning laboratory in Vila Velha, Espirito Santo",cp,Federal University of Espirito Santo;Federal Institute of Espírito Santo,Vitória;Vitoria,Brazil;Brazil,"Dos Santos, Otávio Lube;Cury, Davidson;Rafalski, Jadson;David Netto Silveira, Pedro","Proceedings - 2016 11th Latin American Conference on Learning Objects and Technology, LACLO 2016",Conference Proceeding,"The amount of technologies that appear every day as educational applications is surprising. Within the sciences area we can highlight the technologies for the study of programming and robotics, that help students of all skill levels to develop their logical thinking and propose functional prototypes to solve their problems of everyday life. The applicability of these technologies makes them excellent learning objects by allowing interaction with learners. This article presents a case of successful implementation of a robotics lab for a city of the state of Espirito Santo, in Brazil, which is now in replication, to ensure access to this technology to all students of elementary school. With the help of robotics learning objects, such as LEGO Mindstorms kit, Arduino boards, programming simulators and Internet of Things concepts, we propose here a methodology based on leaning projects for learning technological concepts of robotics and computer automation.",Design Education | E-Learning | Robotics,5,0,Not relevant
10.1166/asl.2017.8634,,The effects of STEAM class using science-art-IT convergence art work for middle school education under a free semester system in Korea,ar,Korea National University of Education;Youngmoon Middle School,Cheongwon-gun;,South Korea;South Korea,"Kim, Bang Hee;Lim, Yeong Dae;Jung, Moon Yong;Kim, Jinsoo",Advanced Science Letters,Journal,"The appropriateness of science-art convergence is actively discussed today because of its importance in educating students to become more creative and well-rounded people. At the same time, IT technology is receiving more attention as a career path because of the increased emphasis on the importance of software education required by today’s economy. In this research, a science-art-IT convergence program, STEAM, was developed and applied to Korean middle schools under the free semester system program and its effectiveness was tested. The program was developed by a five researcher team which consisted of specialists in art and STEAM education as well as middle school teachers who held teaching positions at school. The program developed in this research consisted of ten class periods where students used the Arduino program to create robotic art to simulate the Western masterpiece paintings. The program was implemented at middle schools that were running free semester systems. A pre and post test was performed on the attitude of participating students in various areas in order to study how they felt about the program. The assessment areas included: student’s interest in the subjects, communication/caring, self-guided learning, and career choice in science and engineering. The result showed that the class was effective in improving students’ interest in math and science subjects; self-concept in science; and a career choice in science and engineering. Also, the students were relatively satisfied with the program overall. The research concluded that the science-art-IT program can contribute to solving one of the most important problems associated with operating free semester systems, which is providing more diverse educational programs to students.",Free semester system | Robotic art | Science-art-IT convergence | STEAM attitude,3,0,Not relevant
10.2507/27th.daaam.proceedings.033,,Intelligent robotronics: Hardware-software complexes of robotariums,cp,,,,"Pryanichnikov, V. E.;Ksenzenko, A. Y.;Kuvshinov, S. V.;Poduraev, Y. V.;Prysev, E. A.;Helemendik, R. V.;Eprikov, S. R.",Annals of DAAAM and Proceedings of the International DAAAM Symposium,Conference Proceeding,"The article describes the technology of development of advanced mobile service robots and basic hardware and software elements as well as their use for implementation of the network of associated laboratories-robotariums within the framework of the project called ""Intellectual Robotronics"" organized by the Central European Branch of the International Academy of Engineering in conjunction with KIAM of the Russian Academy of Sciences, the International Institute of New Education Technologies (IINET) of the Russian State University for the Humanities, the universities of Russia, Croatia and Austria. Within the framework of this network, the access is provided to the entire range of the developed mechatronic devices and mobile robots having systems for remote charging and video stream exchange, and also to 3Dprototyping tools placed in the participating organizations, and to their guidance papers. Mobile robots and their simulation models repeat the basic functionality and appearance of significantly more difficult and expensive robotic complexes (RTC) of the Ministry of Emergency Situations and other agencies, which allows for the effective conducting of training of the operators of such RTCs and the development of integrating software (""middleware""), creating the knowledge representation technology and automatic generation of action plans.",Hardware and software simulators of robotic complexes | Intellectual robotronics | Knowledge representation and pentalogic | Robotarium network,7,1,Not relevant
10.1016/j.ifacol.2016.07.194,,Advanced educational tool for remote control study,cp,"Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO",Saint Petersburg,Russian Federation,"Shavetov, Sergey V.;Vedyakov, Alexey A.;Pyrkin, Anton A.;Bobtsov, Alexey A.;Borisov, Oleg I.",IFAC-PapersOnLine,Conference Proceeding,The article is devoted to a problem of training students to new challenges in techniques and technologies. Actual and perspective problem of control via the Internet is considered. The unique arena “Robodrom” is built for studying remote and networked control algorithms through online game. This game is available at URL: http://robodrom.net. It involves students to an education process and demonstrates efficacy of studying algorithms. The mobile robots based on Lego Mindstorms NXT are chosen as plants. Consecutive Compensator is considered as one of the studying control approaches. Some simulation and experimental results are shown.,adaptive control | input variable delay | Lego Mindstorms NXT | mobile robots | networked control | remote control | robodrom,3,1,Not relevant
10.1201/b20057-36,,Design of fuzzy logic controller for the unloading system in mechatronic device for gait reeducation,cp,Silesian University of Technology,Gliwice,Poland,"Duda, S.;Gąsiorek, D.;Gembalczyk, G.;Kciuk, S.;Mężyk, A.","Advances in Mechanics: Theoretical, Computational and Interdisciplinary Issues - 3rd Polish Congress of Mechanics, PCM 2015 and 21st International Conference on Computer Methods in Mechanics, CMM 2015",Conference Proceeding,"The article presents a structural solution and a control system of a device responsible for patient unloading during therapeutic tasks related to the walk re-education process. The device is incorporated in a complex mechatronic system which constitutes a rehabilitation device. Unlike traditional devices of this type which often operate as classic hoists, the applied system is equipped with two independent motors. One of the motors is responsible for the dynamic compensation of the patient’s body weight and acts as the so-called ""elastic series actuator""-a drive applied in walking machines and human-assisting robots. The other one is responsible for the operation of the winding reel. Due to the need to ensure proper cooperation between the two engines, the selection of the optimal control system of the device constitutes an interesting engineering problem. The work presents a solution using an implemented algorithm based on fuzzy logic. The selection of parameters was conducted based on numerical studies in which the walk of a patient through a step was simulated.",,1,0,Not relevant
10.1080/10494820.2020.1761836,,Low-cost VR system for interactive education of manual assembly procedure,ar,Politechnika Poznanska,Poznan,Poland,"Grajewski, Damian;Hamrol, Adam",Interactive Learning Environments,Journal,"The article presents the concept and first results of tests of a Virtual Reality system dedicated for interactive education of manual assembly procedure. The presented solution is based on the use of a Delta robot. The main task of the robot is to simulate the shape of virtual objects as an alternative to haptic devices. The manipulator with parallel kinematics is integrated with low-cost VR equipment intended for visualization (HMD) and tracking the position of real objects (optical tracking system), and also provides manipulation of physical models (representing digital data). Experimental tests were conducted with special attention to touch interaction between the user and the end effector of the robot. An interactive VR application has been prepared for the simulation of the developed test scenarios, during which the participant of the virtual scene interacted with the simulated object. Manipulator task was to move to a location enabling such interaction. The scenario of virtual training of procedural task was also performed. The purpose of the test was to demonstrate whether the solution could be applied to work-oriented training at the production stand.",Delta robot | immersive environment | interactive learning | Virtual Reality | virtual simulation,0,0,Not relevant
10.1515/mspe-2019-0010,,The use of low-budget self-assembly sets for research and robotics education,ar,Silesian University of Technology,Gliwice,Poland,"Cheluszka, Piotr",Management Systems in Production Engineering,Journal,"The article presents the possibilities of using easily accessible and inexpensive educational sets in scientific research and the process of robotics education. Such kits allow the exploration of theoretical and practical knowledge taking into account aspects of engineering, such as: mechanics, drive systems, sensor systems, control and programming of robots. Models of robots built from inexpensive components can also be used to test new solutions in the field of construction or control algorithms before they are used in real applications. As an example, the model of the palletizing manipulator for self-assembly was shown, the control of which was based on the Arduino Uno controller, while the drives were implemented using low-cost hobby-grade servos. For the kinematic structure of this manipulator, the forward and inverse kinematics task for the position has been discussed. This constituted the basis for the development of a manual control algorithm implemented in the controller - using a joystick and programmed - based on the data sent to the controller using serial communication from a PC. The article presents the results of the computer simulation of the manipulator kinematics, the hardware and software implementation of the robot model and the effects of its operation. The possibility of expanding the control system with additional elements to increase its functionality was indicated.",control | industrial robot | kinematics | manipulator | programming | self-assembly set,0,1,Not relevant
10.1515/mspe-2019-0008,,Applying the computer aided systems in education process,ar,Slovak University of Technology in Bratislava,Bratislava,Slovakia,"Matúšová, Miriam;Hrušková, Erika",Management Systems in Production Engineering,Journal,"The article summarizes the experience of laboratory technical subjects teaching methodologies using a number of software products. The main aim is to modernize the teaching process in accordance with the requirements of today - based on information technology. Increasing of the study attractiveness and effectiveness is due to the introduction of Computer Aided (CA) technologies in the learning process. This paper discussed the areas where individual CA system used and concrete examples used in the education process. They are CAD system Catia V5, FluidSIM created and simulates the pneumatics and electropneumatic schemes and circles, software witness used for simulation of material flow planning and RobotStudio that illustrates operated Robot in his own manipulated area. Environment using CA systems are briefly presented in each chapter.",Computer Aided (CA) systems | Computer Aided (CA) technologies | Education | simulation,2,1,Not relevant
,,Astrobee: Current status and future use as an international research platform,cp,"California State University, Los Angeles;Massachusetts Institute of Technology;NASA Ames Research Center",Los Angeles;Cambridge;Moffett Field,United States;United States;United States,"Vargas, Andres Mora;Ruiz, Ruben Garcia;Wofford, Peter;Kumar, Vivek;Van Ross, Bryce;Katterhagen, Aric;Barlow, Jonathan;FlÃ¼ckiger, Lorenzo;Benavides, Jose;Smith, Trey;Bualat, Maria","Proceedings of the International Astronautical Congress, IAC",Conference Proceeding,"The Astrobees are NASA's next generation free-flying robots for the International Space Station (ISS). In this paper we update Astrobee development status, describe its software, and the ground facilities used for testing. We also describe initial uses of Astrobees as a research and educational platform, including the Zero Robotics competition for students ages 12-18. Astrobees will replace the Synchronized Position Hold, Engage, Reorient, Experimental Satellites (SPHERES) on board the ISS. Astrobees will operate inside the ISS, where they will assist astronauts, ground controllers, and researchers. The Astrobee Robot Software is the open-source, Robot Operating System (ROS) based software in charge of Astrobees' autonomous operation. The Astrobee Robot Software can be used interchangeably with an Astrobee Simulator or as Astrobee's on board software, facilitating the robot's development. In addition to simulation-based testing, further evaluation is performed using the SPHERES â€œGranite Labâ€ and â€œMicro-Gravity Test Facilityâ€ (MGTF) at NASA Ames. The Granite Lab consists of a 3m x 3m granite table used to mimic microgravity conditions in three degrees of freedom (x/y/yaw) by mounting one or multiple Astrobees on mobile air bearings to eliminate friction. This facility also replicates a section of the ISS including lighting, handrails, and the Astrobee dock. The MGTF expands on the Granite Lab's capabilities by allowing an Astrobee to maneuver with 6 degrees-of-freedom (DOF). A gantry structure allows linear displacement in x-y-z, and a gimbal performs rotations about those axes. Motion is driven by a physics simulation that responds to simulated thrust command from the robot. The MGTF expands the capabilities to test Astrobee features at a higher fidelity, including path planning, obstacle avoidance, and computer vision-based mobility control algorithms. In addition to carrying out tasks to support ISS operations, Astrobee was designed to support a broad range of â€œguest scienceâ€. Guest scientists will use Astrobees to test a variety of mobile payloads and sensors, as well as carry out experiments ranging from human-robot interaction studies to examination of fluid behavior in microgravity. Industry, academia, and government researchers can run their experiments using these free-flying robots. We describe several of the hardware and software payloads currently under development for Astrobee, and discuss the transition from SPHERES to Astrobee in the Zero Robotics program.",,2,0,Not relevant
10.2514/6.2018-2449,,Training for analog mars simulations,cp,Austrian Space Forum;GMV Insyen;Space Applications Services NV/SA for the European Space Agency,Innsbruck;Munich;Noordwijk,Austria;Germany;Netherlands,"Zanardini, Laura;Gromer, Gernot;Lousada, Joao;Paternostro, Simone","15th International Conference on Space Operations, 2018",Conference Proceeding,"The Austrian Space Forum (ÖWF) is a citizen science organization with one of the most significant experience in Europe in Analog Mars Simulations. Since its establishment in 1999 it has developed a deep knowledge and understanding of simulated missions to Mars, culminating in six major field missions organized between 2006 and 2015 between Europe, North America and Africa. It is the only organization in Europe with a permanent Analog Astronaut Corp and, in order to support the field missions, an established Mission Support Center with trained personnel. Since the last mission, a 15 days long simulation in the Kaunertal glacier in Austria (AMADEE 15), and in preparation for the upcoming one, a month long expedition in Oman (AMADEE 18), a training program has been prepared and implemented to develop and train the skills of the volunteers who will support the mission from both the field and the Mission Support Center. This training flow is developed in parallel with the dedicated one for the Analog Astronauts, which consists of a basic training in the major areas of technical skills and emergency training supplemented by a continuous physical training, nutritional coaching, media and education and outreach activities. In addition, mission specific training is added in preparation for the major field missions, approximately one year prior to the start of the activities and progressively refined as soon as the scientific program is finalized. The training program for the Mission Support center personnel is articulated in two major milestones, which are 3 days long face to face courses held in Innsbruck, where the ÖWF headquarter and the Mission Support Center are located; those are respectively an Analog Mission Basic Training (AMBT) and an Analog Mission Advanced Training (AMAT). As said, the ÖWF is a citizen science organization open to students, professionals and in general targeting anyone with an interest in space, therefore there is a variety of backgrounds and skills, which have to be considered and integrated in the training preparation. In order to set a common level of initial knowledge, the first part of the AMBT course is developed as an online series of lectures, introducing the ÖWF history and some generic concepts on the different teams working for an analog mission, namely the Flight Control Team, Flight Planning, Remote Science Support, Information technology, Media, Field and Ground Support. In addition, some introductory readings on planetary exploration and Mars Mission Design, including the PolAres manifest, which is the interdisciplinary program lead by the ÖWF to prepare for a future robotic-human Mars mission. The concepts learned in the online part of the course are then exploited during the fact to face part of the course, in which additional communication skills are developed in preparation for the first analog Simulation, in which the participants are getting a first introduction to the Mission Support Center consoles and tools. In the same timeframe the students receive the first introduction to the Aouda Spacesuit, which is used by the Analog Astronauts during the simulated Extra-Vehicular Activities and can experience the donning and doffing as a generic task which they will support daily during a mission simulation. The knowledge acquired during the AMBT course is tested in two steps: once after the first set of online lectures and preparatory readings and then at the end of the face to face part where the students are also asked to reflect on their performance during the Simulation. The Advanced training contains a few more in depth lessons related to other important aspects of an Analog mission, such as Meteorology, Safety, Space Politics and Law and becomes more specific for the role the participant is expected to take during the mission; the group is divided in three subgroups, each one covering the aspects of Flight Planning, Flight Control Team and Field respectively. The final day of the AMAT face to face training is simulating almost an entire day of EVA during an Analog Mission, including some science experiment execution, and the students are practicing their skills and applying their recently acquired knowledge on the Operational products, tools and communication. For this advanced phase, the knowledge is tested by means of a questionnaire at completion of the online part and through the preparation of a thesis topic, assigned by the lecturers and Team Leads to each participant. Through the entire study a special relevance is also given to the psychological aspects of the Analog Mission, both as a subject to be taken into consideration while communicating to a group of people which is located on a different planet and with the introduction of the time delay, but also as a way to address each participant to the group where his/her personality and skills fit better and can be exploited to the maximum level. The interactions between Mission Support Center, field and Analog Astronauts are practiced prior to a major field mission during specific integrated Dress Rehearsals; each one of them has a specific objective and is aimed to train certain skills: the first one is centered on experiment qualification and operation, the second on procedures and contingency operation and the last one on science and experiments. They all consist of a few days of co-location in Innsbruck where the different teams have the opportunity to get to know each other and build the relationships which will be essential for a smooth and productive environment during the mission execution. The most promising students graduated from the AMAT training program are then invited by the Board to pursue a career path into the organization, becoming, after a dedicated leadership training, members of the Flight Directors team or the equivalent into the field, the Field Commander. The training concepts described above have been applied successfully to 2 classes of AMBT/AMAT graduates, one in 2016 and one in 2017; in addition, due to its success, an additional AMBT course is planned to be completed before the end of 2017; this approach has guaranteed to the Austrian Space Forum a relevant number of trained volunteers which are ready to be assigned to their duties and start the final preparation for the mission specific topics of AMADEE 18 in Oman.",,1,0,Not relevant
10.1109/ICISC.2017.8068734,,Hardware in the loop based simulation of a robotic system with real time control and animation of working model,cp,Malaviya National Institute of Technology Jaipur,Jaipur,India,"Kumar, Akshay;Mittal, Anshul;Arya, Rajat;Shah, Akash;Garg, Sharad;Kumar, Rajesh","Proceedings of the International Conference on Inventive Systems and Control, ICISC 2017",Conference Proceeding,"The computer-based real-time simulation of an electro-mechanical system using not only automatically fed pre-defined simulation conditions, but real life input signals to the system to enhance user control options is proposed. The introduced system is a robotic assistive technology for repair and maintenance of electrical power transmission lines in live condition. The setup is assisted by a simulation to provide real-time animation of the system under study while the controller operates the same, remotely and simultaneously. These systems can be used for research or educational purposes so as to measure the efficiency of the design for mechatronics industrial systems not only on predetermined inputs but on random test data sets as well and observe its response to the operational constraints that limit the system use.",Control Systems | Hardware In The Loop Simulation | Kinematic Singularities | Simulink,2,0,Not relevant
10.3389/frobt.2021.612740,,RoboEthics in COVID-19: A Case Study in Dentistry,ar,"BC Cancer Research Centre;Ryerson University;University of British Columbia, Faculty of Medicine;Tactile Robotics;Manitoba Dental Association",Vancouver;Toronto;Vancouver;Winnipeg;Winnipeg,Canada;Canada;Canada;Canada;Canada,"Maddahi, Yaser;Kalvandi, Maryam;Langman, Sofya;Capicotto, Nicole;Zareinia, Kourosh",Frontiers in Robotics and AI,Journal,"The COVID-19 pandemic has caused dramatic effects on the healthcare system, businesses, and education. In many countries, businesses were shut down, universities and schools had to cancel in-person classes, and many workers had to work remotely and socially distance in order to prevent the spread of the virus. These measures opened the door for technologies such as robotics and artificial intelligence to play an important role in minimizing the negative effects of such closures. There have been many efforts in the design and development of robotic systems for applications such as disinfection and eldercare. Healthcare education has seen a lot of potential in simulation robots, which offer valuable opportunities for remote learning during the pandemic. However, there are ethical considerations that need to be deliberated in the design and development of such systems. In this paper, we discuss the principles of roboethics and how these can be applied in the new era of COVID-19. We focus on identifying the most relevant ethical principles and apply them to a case study in dentistry education. DenTeach was developed as a portable device that uses sensors and computer simulation to make dental education more efficient. DenTeach makes remote instruction possible by allowing students to learn and practice dental procedures from home. We evaluate DenTeach on the principles of data, common good, and safety, and highlight the importance of roboethics in Canada. The principles identified in this paper can inform researchers and educational institutions considering implementing robots in their curriculum.",COVID-19 | DenTeach | dentistry | education | roboethics,1,1,Not relevant
10.1007/s12008-020-00704-6,,Cyber-Physical Labs to enhance engineering training and education,ar,Tecnologico de Monterrey,Monterrey,Mexico,"Macías García, Manuel E.;Cortés Pérez, Aldo A.;Izaguirre Alegría, Alfredo R.",International Journal on Interactive Design and Manufacturing,Journal,"The current market requirements of manufacturing sectors are boosting the development and adoption of digital tools increasingly every day. Training simulation software for automatic systems, process optimization, and system validation are a must-have for all production centers to do faster machine integrations and more rapid prototyping to find advantages over their competitors. The new form of system validation is known as virtual commissioning, which emulates a real industrial environment thanks to computer software, and it provides the user with a safe place to train before dealing with a problem in the real world. This technology represents an opportunity for specialized education where virtual commissioning could be used to equip control and automation laboratories in which students and trainees in automation can test, validate, and debug their control and automation strategies. Thus, the student learns by doing; the technology saves the training center money by not needing costly, industrial machinery to reinforce student understanding. The student’s practice becomes a regular habit. In our global economy, many developing nations whose primary economic activity is production feel these pressures, but their training laboratories are resource-poor and are commonly equipped with improvised homemade systems that do not represent what students will face in the real industrial environment. This article describes the creation process, capabilities, and scope of a set of new virtual commissioning elements within Cyber-Physical Laboratories (CPL). A CPL is a merger of physical laboratories equipped with real industrial controllers and virtual environments to emulate industrial processes which can be used for engineering training in automation, control, and robotics for the purpose of achieving low costs and effective use of laboratories. As in a physical system, in a Cyber-Physical Laboratory, devices are totally connected, all operating in their own spaces, real and virtual, and interacting with each other. This research paper also shows examples of in situ Cyber-Physical Laboratories and their capabilities, scope, usage, and contributions to student training.",Cyber-Physical Laboratories | Educational innovation | Engineering training | Interactive engineering | Virtual commissioning | Virtual reality,4,0,Not relevant
10.1088/1742-6596/1464/1/012002,,Neural networks and behaviour based control for education botanical robot navigation,cp,Universitas PGRI Semarang;Faculty of Engineering,Semarang;Yogyakarta,Indonesia;Indonesia,"Burhanuddin, A.;Supriyadi, S.;Malik, M.",Journal of Physics: Conference Series,Conference Proceeding,"The development of robots began when the military needed it as war equipment, and then it was used by some industries to develop production until now widely used for education and agriculture. Educational robots are usually more universal and simpler than industrial or military robots because robots for education are made only for simulations or prototypes. In this study, the authors surveyed prototypes of Educational botany robots, namely robots used to distinguish fruit maturity. In this journal, the behaviour-based control (BBC) algorithm will continue implemented into mobile robots. The movement of the mobile robot prepared in advance, and then actually the mobile robot is wheeled compared to the desired path. Besides, both kinematic and dynamic smelling mobile robots are derived and considered. In this study, only focused on mobile robots three-wheel differential drive, which will explore in a circular and straight path. In this journal, it can be found that image processing techniques can be used to determine the maturity of watermelons which are shown in different average values in each image obtained by the camera. The best models are generated by layer 32 hidden with an accuracy value of 87% at the training dataset level 60:10:30. The Behaviour Based Control Method has directional movements. But there was an error in each test so that I couldn't take the watermelon correctly. The error rate reaches 25% from 40 tests or about ten failures in the form of deviating from the object point.",,0,1,Not relevant
,,A study of collaborative knowledge construction in stem via educational robotics,cp,Cyprus University of Technology,Limassol,Cyprus,"Socratous, Chrysanthos;Ioannou, Andri","Proceedings of International Conference of the Learning Sciences, ICLS",Journal,"The educational robotics learning environment can integrate the benefits of robotics technology, computer supported collaborative learning (CSCL) and problem-based pedagogy, in an authentic learning space, simulating real-world problems. This study investigated primary school students’ patterns of knowledge construction in STEM, as they engaged in collaborative problem-solving using educational robotics. Data analysis involved micro-level examination of students’ discourse and interactions with their peers, the teacher and the robot, and students’ delivered solutions (software programs and worksheets). The study presents three conditions that appear to relate to higher levels of knowledge construction: (i) embodied interaction with the robot; (ii) fair contribution by teammates adhering to predefined roles, and (iii) cognitive dissonance as a result of the robot’s failure to perform the expected outcome. The study contributes to the design of educational robotics learning environments and conditions for collaborative knowledge construction in the STEM field.",,6,0,Not relevant
