eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,fund_acr,fund_no,fund_sponsor,abstract,include?
2-s2.0-84855432288,10.1007/s10846-011-9568-2,,,Path planning strategies for UAVS in 3D environments,ar,Article,De Filippis L.,,Politecnico di Torino,Turin,Italy,,,,,2012-01-01,January 2012,Journal of Intelligent and Robotic Systems: Theory and Applications,09210296,24360,15730409,Journal,65,1-4,,247-264,,,121,0,,,,"The graph-search algorithms developed between 60s and 80s were widely used in many fields, from robotics to video games. The A* algorithm shall be mentioned between some of the most important solutions explicitly oriented to motion-robotics, improving the logic of graph search with heuristic principles inside the loop. Nevertheless, one of the most important drawbacks of the A* algorithm resides in the heading constraints connected with the grid characteristics. Different solutions were developed in the last years to cope with this problem, based on post-processing algorithms or on improvements of the graph-search algorithm itself. A very important one is Theta* that refines the graph search allowing to obtain paths with “any” heading. In the last two years, the Flight Mechanics Research Group of Politecnico di Torino studied and implemented different path planning algorithms. A Matlab based planning tool was developed, collecting four separate approaches: geometric predefined trajectories, manual waypoint definition, automatic waypoint distribution (i.e. optimizing camera payload capabilities) and a comprehensive A*-based algorithm used to generate paths, minimizing risk of collision with orographic obstacles. The tool named PCube exploits Digital Elevation Maps (DEMs) to assess the risk maps and it can be used to generate waypoint sequences for UAVs autopilots. In order to improve the A*-based algorithm, the solution is extended to tri-dimensional environments implementing a more effective graph search (based on Theta*). In this paper the application of basic Theta* to tri-dimensional path planning will be presented. Particularly, the algorithm is applied to orographic obstacles and in urban environments, to evaluate the solution for different kinds of obstacles. Finally, a comparison with the A* algorithm will be introduced as a metric of the algorithm performances.",NO
2-s2.0-84889605432,10.1080/08993408.2013.847152,,,Mindstorms robots and the application of cognitive load theory in introductory programming,ar,Article,Mason R.,,School of Business and Tourism,Lismore,Australia,,,,,2013-12-01,December 2013,Computer Science Education,08993408,19700201422,17445175,Journal,23,4,,296-314,,,13,0,,,,"This paper reports on a series of introductory programming workshops, initially targeting female high school students, which utilised Lego Mindstorms robots. Cognitive load theory (CLT) was applied to the instructional design of the workshops, and a controlled experiment was also conducted investigating aspects of the interface. Results indicated that a truncated interface led to better learning by novice programmers as measured by test performance by participants, as well as enhanced shifts in self-efficacy and lowered perception of difficulty. There was also a transfer effect to another programming environment (Alice). It is argued that the results indicate that for novice programmers, the mere presence on-screen of additional (redundant) entities acts as a form of tacit distraction, thus impeding learning. The utility of CLT to analyse, design and deliver aspects of computer programming environments and instructional materials is discussed.",SI
2-s2.0-84889598013,10.1080/08993408.2013.847226,,,Robotics for computer scientists: what's the big idea?,ar,Article,Touretzky D.,,Carnegie Mellon University,Pittsburgh,United States,,,,,2013-12-01,December 2013,Computer Science Education,08993408,19700201422,17445175,Journal,23,4,,349-367,,,8,0,,,,"Modern robots, like today’s smartphones, are complex devices with intricate software systems. Introductory robot programming courses must evolve to reflect this reality, by teaching students to make use of the sophisticated tools their robots provide rather than reimplementing basic algorithms. This paper focuses on teaching with Tekkotsu, an open source robot application development framework designed specifically for education. But, the curriculum described here can also be taught using ROS, the Robot Operating System that is now widely used for robotics research.",SI
2-s2.0-84887778878,10.1109/TE.2013.2255877,,,Game-console-based projects for learning the computer input/output subsystem,ar,Article,Larraza-Mendiluze E.,,Universidad del Pais Vasco,Leioa,Spain,,,,,2013-11-21,2013,IEEE Transactions on Education,00189359,17344,,Journal,56,4,6502274,453-458,,,8,0,,,,"The input/output (I/O) subsystem is an important topic within computer architecture (CA) because it determines how the computer interacts with its environment. For this reason, computer scientists and engineers must understand how the computer manages this interaction, which is usually taught in introductory CA courses. Of course, there are many different styles of teaching, ranging from purely theoretical to completely practical. The CA course considered in this paper has already applied a practical approach for some time. For the I/O subsystem, students must be able to describe what polling and interrupts are and handle them through low-level programming. However, programming at this level in operating system (OS)-driven computers is not possible without being familiar with the kernel and drivers, which is not usually the case for students in an introductory course. Fortunately, there are many bare and specialized embedded systems around that are not OS-driven. In this proposal, the Nintendo DS (NDS) console was used in a classroom setting. It proved to be an appropriate infrastructure for developing attractive and engaging projects and was useful in providing a better understanding of the mechanisms related to the I/O subsystem. At the same time, the teaching methods were altered to make the transition from classical, passive, lecture-based classes to an active project-based learning (PBL) approach. It has been a very rewarding experience to see students learning to control the NDS devices on their own. In addition to describing the implementation of the proposed changes in two subsequent school years, this paper also presents some data and conclusions.",NO
2-s2.0-84887154791,10.5302/J.ICROS.2013.13.8011,,,A user interface for vision sensor based indirect teaching of a robotic manipulator,ar,Article,Kim T.,,University of Science and Technology (UST),Daejeon,South Korea,,,,,2013-11-12,2013,"Journal of Institute of Control, Robotics and Systems",19765622,21100201073,,Journal,19,10,,921-927,,,0,1,,,,"This paper presents a user interface for vision based indirect teaching of a robotic manipulator with Kinect and IMU (Inertial Measurement Unit) sensors. The user interface system is designed to control the manipulator more easily in joint space, Cartesian space and tool frame. We use the skeleton data of the user from Kinect and Wrist-mounted IMU sensors to calculate the user's joint angles and wrist movement for robot control. The interface system proposed in this paper allows the user to teach the manipulator without a pre-programming process. This will improve the teaching time of the robot and eventually enable increased productivity. Simulation and experimental results are presented to verify the performance of the robot control and interface system.",NO
2-s2.0-84887824644,10.1007/s00170-013-5034-6,,,Autonomous seam acquisition and tracking system for multi-pass welding based on vision sensor,ar,Article,Gu W.P.,,Nanchang Hangkong University,Nanchang,China,,,,,2013-10-01,October 2013,International Journal of Advanced Manufacturing Technology,02683768,20428,14333015,Journal,69,1-4,,451-460,,,69,0,,,,"Automatic welding technology is a solution to increase welding productivity and improve welding quality, especially in thick plate welding. In order to obtain high-quality multi-pass welds, it is necessary to maintain a stable welding bead in each pass. In the multi-pass welding, it is difficult to obtain a stable weld bead by using a traditional teaching and playback arc welding robot. To overcome these traditional limitations, an automatic welding tracking system of arc welding robot is proposed for multi-pass welding. The developed system includes an image acquisition module, an image processing module, a tracking control unit, and their software interfaces. The vision sensor, which includes a CCD camera, is mounted on the welding torch. In order to minimize the inevitable misalignment between the center line of welding seam and the welding torch for each welding pass, a robust algorithm of welding image processing is proposed, which was proved to be suitable for the root pass, filling passes, and the cap passes. In order to accurately track the welding seam, a Fuzzy-P controller is designed to control the arc welding robot to adjust the torch. The Microsoft Visual C++6.0 software is used to develop the application programs and user interface. The welding experiments are carried out to verify the validity of the multi-pass welding tracking system.",NO
2-s2.0-84882996117,10.7227/IJEEE.50.3.4,972020P647T31786,,An autonomous line-following robot project as a training tool for project work,ar,Article,Apsley J.,,The University of Manchester,Manchester,United Kingdom,,,,,2013-07-01,1 July 2013,International Journal of Electrical Engineering and Education,00207209,17966,20504578,Journal,50,3,,239-246,,,6,0,,,,"Project work forms a major part of final year BEng and MEng degree courses, with most of the assessment marks allocated for the final report. Traditional classroom teaching does not promote the independent learning required in running a project, or writing a research report. An autonomous line-following robot challenge has been introduced as a second-year group project, as a training tool in project management, planning and technical writing, in order to prepare students for their third- and fourth-year projects. The line-following robot requires students to develop technical skills in circuit design, fabrication, microcontroller programming and control, in the context of a competition that engages their enthusiasm. It provides a platform for the second-year pastoral system, motivating students to meet weekly with tutors in a small-group context. This paper evaluates the effectiveness of the project in meeting learning objectives, and identifies challenges relating to resources and assessment.",NO
2-s2.0-84878266260,10.1016/j.robot.2012.08.001,S0921889012001182,,End-user programming architecture facilitates the uptake of robots in social therapies,ar,Article,Barakova E.,,Technische Universiteit Eindhoven,Eindhoven,Netherlands,,,,,2013-07-01,July 2013,Robotics and Autonomous Systems,09218890,18079,,Journal,61,7,,704-713,,,50,0,,,,"This paper proposes an architecture that makes programming of robot behavior of an arbitrary complexity possible for end-users and shows the technical solutions in a way that is easy to understand and generalize to different situations. It aims to facilitate the uptake and actual use of robot technologies in therapies for training social skills to autistic children. However, the framework is easy to generalize for an arbitrary human–robot interaction application, where users with no technical background need to program robots, i.e. in various assistive robotics applications. We identified the main needs of end-user programming of robots as a basic prerequisite for the uptake of robots in assistive applications. These are reusability, modularity, affordances for natural interaction and the ease of use. After reviewing the shortcomings of the existing architectures, we developed an initial architecture according to these principles and embedded it in a robot platform. Further, we used a co-creation process to develop and concretize the architecture to facilitate solutions and create affordances for robot specialists and therapists. Several pilot tests showed that different user groups, including therapists with general computer skills and adolescents with autism could make simple training or general behavioral scenarios within 1 h, by connecting existing behavioral blocks and by typing textual robot commands for fine-tuning the behaviors. In addition, this paper explains the basic concepts behind the TiViPE based robot control platform, and gives guidelines for choosing the robot programming tool and designing end-user platforms for robots.

Highlights

► Programming architecture to help end-users create interactive scenarios is proposed. ► Complex programming concepts are explained for non-programmers. ► Iterative co-creation process leads to robot scenarios for training autistic children. ► Using TiViPE therapists can create interactive robot behaviors within 1 h. ► The architecture facilitates creation, and sharing of robot training scenarios.",SI
2-s2.0-84878386088,10.5772/53992,,,Towards behavior control for evolutionary robot based on RL with ENN,ar,Article,Yang J.,,Hefei University of Technology;Changhzou Key Laboratory of Software Technology and Applications,Hefei;,China;China,,,,,2013-06-05,2013,International Journal of Advanced Robotic Systems,17298806,144749,17298814,Journal,10,,157,,,,2,1,,,,"This paper proposes a behavior-switching control strategy of an evolutionary robot based on Artificial Neural Network (ANN) and genetic algorithm (GA). This method is able not only to construct the reinforcement learning models for autonomous robots and evolutionary robot modules that control behaviors and reinforcement learning environments, and but also to perform the behavior-switching control and obstacle avoidance of an evolutionary robot in the unpredictable environments with the static and moving obstacles by combining ANN and GA.

The experimental results have demonstrated that our method can perform the decision-making strategy and parameter setup optimization of ANN and GA by learning and can effectively escape from a trap of local minima, avoid motion deadlock status of humanoid soccer robotic agents, and reduce the oscillation of the planned trajectory among the multiple obstacles by crossover and mutation. We have successfully applied some results of the proposed algorithm to our simulation humanoid robotic soccer team CIT3D which won the 1st prize of RoboCup Championship and ChinaOpen2010 and the 2nd place of the official RoboCup World Championship on 5-11, July 2011 in Istanbul, Turkey.

In comparison with the conventional behavior network and the adaptive behavior method, our algorithm simplified the genetic encoding complexity, improved the convergence rate ρ and the network performance.",NO
2-s2.0-84876815936,10.1109/TLA.2013.6502866,,,Actions towards the application of intelligent systems in computer education,ar,Article,Diaz L.,,Universidad Nacional de Córdoba,Cordoba,Argentina,,,,,2013-05-02,2013,IEEE Latin America Transactions,15480992,19700181218,,Journal,11,1,6502866,591-595,,,4,0,,,,"In this work we present two courses of action as part of a research project which is focused in the use of intelligent tutoring systems and robots to improve the learning process of programming for the engineering field. The first method we use is the application of neural networks to the prediction of academic performance of students of programming and, on the other hand, we are developing practical activities based in robot programming for the same student universe as a motivational tool. These actions are the first steps to a learning strategy based on feedback and motivation, by applying intelligent systems in the process of teaching and learning programming applied to engineering field.",SI
2-s2.0-84875892345,10.1016/j.neunet.2012.09.015,S0893608012002560,23098753,Intrinsically motivated action-outcome learning and goal-based action recall: A system-level bio-constrained computational model,ar,Article,Baldassarre G.,,"Istituto Di Scienze E Tecnologie Della Cognizione, Rome",Rome,Italy,,,,,2013-05-01,May 2013,Neural Networks,08936080,24804,18792782,Journal,41,,,168-187,,,40,0,,,,"Reinforcement (trial-and-error) learning in animals is driven by a multitude of processes. Most animals have evolved several sophisticated systems of ‘extrinsic motivations’ (EMs) that guide them to acquire behaviours allowing them to maintain their bodies, defend against threat, and reproduce. Animals have also evolved various systems of ‘intrinsic motivations’ (IMs) that allow them to acquire actions in the absence of extrinsic rewards. These actions are used later to pursue such rewards when they become available. Intrinsic motivations have been studied in Psychology for many decades and their biological substrates are now being elucidated by neuroscientists. In the last two decades, investigators in computational modelling, robotics and machine learning have proposed various mechanisms that capture certain aspects of IMs. However, we still lack models of IMs that attempt to integrate all key aspects of intrinsically motivated learning and behaviour while taking into account the relevant neurobiological constraints. This paper proposes a bio-constrained system-level model that contributes a major step towards this integration. The model focusses on three processes related to IMs and on the neural mechanisms underlying them: (a) the acquisition of action–outcome associations (internal models of the agent-environment interaction) driven by phasic dopamine signals caused by sudden, unexpected changes in the environment; (b) the transient focussing of visual gaze and actions on salient portions of the environment; (c) the subsequent recall of actions to pursue extrinsic rewards based on goal-directed reactivation of the representations of their outcomes. The tests of the model, including a series of selective lesions, show how the focussing processes lead to a faster learning of action–outcome associations, and how these associations can be recruited for accomplishing goal-directed behaviours. The model, together with the background knowledge reviewed in the paper, represents a framework that can be used to guide the design and interpretation of empirical experiments on IMs, and to computationally validate and further develop theories on them.",NO
2-s2.0-84882956902,10.7227/IJEEE.50.2.4,F753PKJ236837523,,A project-based strategy for teaching robotics using NI's embedded-FPGA platform,ar,Article,Mysorewala M.,,King Fahd University of Petroleum and Minerals,Dhahran,Saudi Arabia,,,,,2013-04-01,1 April 2013,International Journal of Electrical Engineering and Education,00207209,17966,20504578,Journal,50,2,,139-156,,,8,0,,,,"This paper discusses our project-based teaching and learning approach to infuse robotics education into our Control and Instrumentation programme at the KFUPM university. In the last two years, various practical projects were assigned to students either as course projects or as capstone design projects in the area of control engineering using the National Instruments (NI) embedded robotic platform. The assigned projects focus on designing and equipping the robotic platform with environment-sensing (light, temperature and sound) capabilities, control operations for path planning and obstacle avoidance. Using the NI platform as a test bed for our teaching approach has resulted in the design and implementation of a successful prototype that enables students to experiment with various sensing, control and communication techniques on this platform, thus turning it into an intelligent mobile robot capable of implementing complex and computationally demanding control and estimation algorithms. Finally, the survey we conducted to assess the educational content, and value to students, of our proposed approach shows that our strategy has been so far fruitful and gives us ample encouragement to pursue it and develop it further.",NO
2-s2.0-84877876489,10.1007/s10514-013-9324-5,,,A new paradigm for open robotics research and education with the C++ OOML,ar,Article,Valero-Gómez A.,,Universidad Carlos III de Madrid,Madrid,Spain,,,,,2013-04-01,April 2013,Autonomous Robots,09295593,18016,,Journal,34,3,,233-249,,,1,0,,,,"For many years robotics has been benefited from the open source community. Software community projects like Player, Stage, Gazebo, ROS, or OpenCV are present in most robotic applications. In recent years this trend has also been initiated among electronic and mechanical developments (open hardware). The Arduino development platform is a good example of a successful hardware project with a great community of developers and users around it. The apparition of personal 3D printers is bringing the open source philosophy to the fabrication of physical things as well. This new technology is in need of new designing tools to take advantage of it. In this paper we are presenting the C++ Object Oriented Mechanics Library (OOML), a tool to design mechanical components, taking into account the needs and requirements of these emerging technologies. These designs can be easily shared, reused, and modified. The OOML brings together the advantages of (1) modelling things through code, (2) the object oriented programming paradigm, and (3) the power of C++. In the OOML, mechanical parts are described as geometrical combinations of basic primitives. Once a part is defined, fabrication files can be generated in order to print, or mechanize it. Models could also be used for simulation, visualization, structural analysis, etc.",NO
2-s2.0-84877874382,10.1007/s10514-013-9323-6,,,ROS open-source audio recognizer: ROAR environmental sound detection tools for robot programming,ar,Article,Romano J.M.,,Rethink Robotics,Boston,United States,,,,,2013-04-01,April 2013,Autonomous Robots,09295593,18016,,Journal,34,3,,207-215,,,10,0,,,,"Advances in audio recognition have enabled the real-world success of a wide variety of interactive voice systems over the last two decades. More recently, these same techniques have shown promise in recognizing non-speech audio events. Sounds are ubiquitous in real-world manipulation, such as the click of a button, the crash of an object being knocked over, and the whine of activation from an electric power tool. Surprisingly, very few autonomous robots leverage audio feedback to improve their performance. Modern audio recognition techniques exist that are capable of learning and recognizing real-world sounds, but few implementations exist that are easily incorporated into modern robotic programming frameworks. This paper presents a new software library known as the ROS Open-source Audio Recognizer (ROAR). ROAR provides a complete set of end-to-end tools for online supervised learning of new audio events, feature extraction, automatic one-class Support Vector Machine model tuning, and real-time audio event detection. Through implementation on a Barrett WAM arm, we show that combining the contextual information of the manipulation action with a set of learned audio events yields significant improvements in robotic task-completion rates.",NO
2-s2.0-84878499446,10.1007/s10489-012-0339-y,,,Similarity measuring strategy of image patterns based on fuzzy entropy and energy variations in intelligent robot's manipulative task,ar,Article,Son C.,,Dankook University,Seoul,South Korea,,,,,2013-03-01,March 2013,Applied Intelligence,0924669X,23674,,Journal,38,2,,131-145,,,5,0,,,,"A similarity measuring strategy of image patterns based on fuzzy entropy and energy variations, using an intelligent robot’s part macro-assembly (part-bringing) as an example, is presented. A part macro-assembly, locating various shaped assembly holes (targets) in a workspace corresponding to shapes of parts and then bringing a part to a corresponding target for the purpose of part mating despite existing obstalces, is introduced. This is accomplished by cooperating a neural network system with a fuzzy optimal control. Fuzzy entropy and energy functions, which are useful measures of variability and information in terms of uncertainty, are introduced to measure its overall performance of task execution related to the part-bringing task. An interrelation among learning, fuzzy entropy, and energy variations used as a measuring tool for a degree of similarity of image patterns is described. Through variations of fuzzy entropy and energy, a degree of similarity between input and desired output image patterns of neural network can be measured. The proposed technique is not only a useful tool to measure a degree of similarity between image patterns, but applicable to a wide range of robotic tasks including motion planning, manufacturing, maneuvering around workspace, and part mating with various shaped parts and targets.",NO
2-s2.0-84897482407,10.1080/15391523.2013.10782614,,,"Let's dance the ""Robot Hokey-Pokey!"": Children's programming approaches and achievement throughout early cognitive development",ar,Article,Flannery L.,,Tufts University,Medford,United States,,,,,2013-01-01,2013,Journal of Research on Technology in Education,15391523,21100301445,19450818,Journal,46,1,,81-101,,,36,0,,,,"Young learners today generate, express, and interact with sophisticated ideas using a range of digital tools to explore interactive stories, animations, computer games, and robotics. In recent years, new developmentally appropriate robotics kits have been entering early childhood classrooms. This paper presents a retrospective analysis of one study within a design-based robotics research program. We examine how patterns of cognition throughout early childhood relate to programming approaches and achievement in a robotics context. The findings lay a foundation for applying cognitive developmental theory to early technology education and inform the evaluation of the study’s programming and robotics technologies and curriculum.",SI
2-s2.0-84888415230,10.18848/1832-3669/cgp/v08i06/56350,,,Technology-centred teaching methods to introduce programming and robotic concepts,ar,Article,Collier G.,,Kingston University,Kingston Upon Thames,United Kingdom,,,,,2013-01-01,2013,"International Journal of Technology, Knowledge and Society",,19900189254,18323669,Conference Proceeding,8,6,,121-129,,,4,0,,,,"Teaching engineering concepts using a combination of software and hardware is always well received by students. In the first year, engineering undergraduates are introduced to a range of concepts from electrical, electronic and software engineering. They operate in an environment with different levels of interest, background knowledge and motivation. Thus it is essential to create a hands-on course unifying the concepts and demonstrating the application of the theoretical concepts taught in the lectures. This paper describes a first-hand experience of programming a microcontroller system to groups of first year undergraduate engineering students, which can be difficult unless a fun and engaging environment is provided. In this paper a first year teaching course is presented, taking students from introduction to graphical programming environment and microcontroller architecture to creating a programme using real sensors and actuators mounted on a robot, to perform a set of tasks.",SI
2-s2.0-84883044296,10.12785/IJCDS/020204,,,"Task based interdisciplinary E-commerce course with UML sequence diagrams, algorithm transformations and spatial circuits to boost learning information security concepts",ar,Article,Herath A.,,University of Bahrain,Sakhir,Bahrain,,,,,2013-01-01,2013,International Journal of Computing and Digital Systems,,21100890383,2210142X,Journal,2,2,,79-87,,,2,1,,,,"This paper describes a task based active learning module developed with projects to help students understand secure protocols, algorithms and modeling web applications to prevent attacks. We have been developing and continuously improving cyber security courses with methods for introducing important concepts for computing majors for more than a decade. Sequence diagrams (step by step diagram) , symbolic representations, and spatial circuit derivation from equations and algorithms are introduced to students to alleviate difficulties in mastering cryptographic algorithms. UML Sequence diagrams represent progression of events with time. Spatial circuits illustrate the transformation of equations and high level programming language constructs into special purpose hardware. These course materials can also be used in computer architecture or embedded systems courses to help students understand and develop special purpose circuitry.",NO
2-s2.0-84878210399,10.1080/02533839.2012.730249,,,Intention deduction from demonstrated trajectory for tool-handling task,ar,Article,Chan H.Y.,,National Chiao Tung University,Hsinchu,Taiwan,,,,,2013-01-01,2013,"Journal of the Chinese Institute of Engineers, Transactions of the Chinese Institute of Engineers,Series A",02533839,15157,21587299,Journal,36,2,,190-201,,,0,0,,,,"When the robot comes to a home-like environment, its programming becomes very demanding. The concept of learning by demonstration is thus introduced, which may remove the load of detailed analysis and programming from the user. Following this concept, in this article, we propose a novel approach for the robot to deduce the intention of the demonstrator from the trajectories during task execution. We focus on the tool-handling task, which is common in the home environment, but complicated for analysis. The proposed approach does not pre-define motions or put constraints on motion speed, while allowing the event order to be altered and allowing for the presence of redundant operations during the demonstration. We apply the concept of cross-validation to locate the portions of the trajectory that correspond to delicate and skillful maneuvering, and apply an algorithm based on dynamic programming previously developed to search for the most probable intention. In experiments, we applied the proposed approach for two different kinds of tasks, the pouring and coffee-making tasks, with the number of objects and their locations varied during demonstrations. To further investigate our method's scalability and generality, we also performed intensive analysis on the parameters involved in the tasks.",NO
2-s2.0-84877736661,10.1541/ieejeiss.133.856,,,Two-stage reinforcement learning on credit branch genetic network programming for mobile robots,ar,Article,Sendari S.,,Universitas Negeri Malang;Waseda University,Malang;Tokyo,Indonesia;Japan,,,,,2013-01-01,2013,"IEEJ Transactions on Electronics, Information and Systems",03854221,3300147412,13488155,Journal,133,4,,856-863,,,1,0,,,,"This paper proposes Two-Stage Reinforcement Learning on Credit Branch Genetic Network Programming named GNP-TSRL-CB for mobile robots. The proposed method uses 2 kinds of Q-tables for sub node selection and credit branch selection, which has advantages of (1) determining an alternative function by using sub node selection and (2) skipping useless functions by using credit branch selection. It is clarified from simulation results that the adaptability mechanism of the proposed method can improve the performance compared with the conventional methods when the individuals of GNP-TSRL-CB are implemented in the dynamic environments like the sudden changes occur.",NO
2-s2.0-84877583142,10.1109/TE.2012.2208194,,,The use of video-gaming devices as a motivation for learning embedded systems programming,ar,Article,Gonzalez J.,,Universidad de Granada,Granada,Spain,,,,,2013-01-01,2013,IEEE Transactions on Education,00189359,17344,,Journal,56,2,6248186,199-207,,,10,0,,,,"As embedded systems are becoming prevalent in everyday life, many universities are incorporating embedded systems-related courses in their undergraduate curricula. However, it is not easy to motivate students in such courses since they conceive of embedded systems as bizarre computing elements, different from the personal computers with which they are familiar. This problem has been overcome at the University of Granada, Spain, by taking advantage of the connection many students have with video games.",NO
2-s2.0-84874578555,10.1108/03684921311310594,,,Soft-computing based navigation approach for a bi-steerable mobile robot,ar,Article,Azouaoui O.,,Centre de Développement des Technologies Avancées,Algiers,Algeria,,,,,2013-01-01,February 2013,Kybernetes,0368492X,12981,,Journal,42,2,,241-267,,,4,0,,,,"Purpose

The purpose of this paper is to present an implementation of a soft‐computing (SC) based navigation approach on a bi‐steerable mobile robot, Robucar. This approach must provide Robucar with capability to acquire the obstacle avoidance, target localization, decision‐making and action behaviors after learning and adaptation. This approach uses three neural networks (NN) and fuzzy logic (FL) controller to achieve the desired task. The NNs corresponding to the obstacle avoidance and target localization are trained using the back‐propagation algorithm and the last one is based on the reinforcement learning paradigm while the FL controller uses the Mamdani search and match algorithm. Simulation and experimental results are presented, showing the effectiveness of the overall navigation control system.

Design/methodology/approach

In this paper, an interesting navigation approach is applied to a car‐like robot, Robucar, with addition of an action behavior to deal with the generation of smooth motions. Indeed, this approach is based on four basic behaviors; three of them are fused under a neural paradigm using Gradient Back‐Propagation (GBP) and reinforcement learning (RL) algorithms and the last behavior uses a FL controller. It uses a set of suggested rules to describe the control policy to achieve the action behavior.

Findings

In the implemented SC‐based navigation, the intelligent behaviors necessary to the navigation are acquired by learning using GBP algorithm and adaptation using FL. The proposed approach provides Robucar with more autonomy, intelligence and real‐time processing capabilities. Indeed, the proposed NNs and FLC are able to remedy problems of analytical approaches, missing or incorrect environment knowledge and uncertainties which can lead to undesirable effects as the rough velocity changes. The simulation and experimental results display the ability of the proposed SC‐based navigation approach to provide Robucar with capability to intelligently navigate in a priori unknown environment, illustrating the robustness and adaptation capabilities of the approach.

Research limitations/implications

This work can be extended to consider mobile obstacles with a velocity higher than the velocity of the robot.

Originality/value

This paper presents a learning approach to navigating a bi‐steerable mobile robot in an unknown environment using GBP and RL paradigms.",NO
2-s2.0-84873412593,10.1109/TE.2012.2213822,,,Integrating mobile robotics and vision with undergraduate computer science,ar,Article,Cielniak G.,,University of Lincoln,Lincoln,United Kingdom,,,,,2013-01-01,2013,IEEE Transactions on Education,00189359,17344,,Journal,56,1,6294470,48-53,,,14,0,,,,"This paper describes the integration of robotics education into an undergraduate Computer Science curriculum. The proposed approach delivers mobile robotics as well as covering the closely related field of Computer Vision and is directly linked to the research conducted at the authors' institution. The paper describes the most relevant details of the module content and assessment strategy, paying particular attention to the practical sessions using Rovio mobile robots. The specific choices are discussed that were made with regard to the mobile platform, software libraries, and lab environment. The paper also presents a detailed qualitative and quantitative analysis of student results, including the correlation between student engagement and performance, and discusses the outcomes of this experience.",NO
2-s2.0-84872563213,10.1007/s12369-012-0167-6,,,Learning Macro Actions from Instructional Videos Through Integration of Multiple Modalities,ar,Article,Johnson D.O.,,University of Missouri-Kansas City,Kansas City,United States,,,,,2013-01-01,January 2013,International Journal of Social Robotics,18754791,19500157063,18754805,Journal,5,1,,53-73,,,1,0,,,,"We propose an architecture for a system that will “watch and listen to” an instructional video of a human performing a task and translate the audio and video information into a task for a robot to perform. This enables the use of readily available instructional videos from the Internet to train robots to perform tasks instead of programming them. We implemented an operational prototype based on the architecture and showed it could “watch and listen to” two instructional videos on how to clean golf clubs and translate the audio and video information from the instructional video into tasks for a robot to perform. The key contributions of this architecture are: integration of multiple modalities using trees and pruning with filters; task decomposition into macro-tasks composed of parameterized task-primitives and other macro-tasks, where the task-primitive parameters are an action (e.g., dip, clean, dry) taken on an object (e.g., golf club) using a tool (e.g., pail of water, brush, towel); and context, for determining missing and implied task-primitive parameter values, as a set of canonical task-primitive parameter values with a confidence score based on the number of times the parameter value was detected in the video and audio information and how long ago it was detected.",NO
2-s2.0-84872333655,10.1007/s11370-012-0128-9,,,A robot learning from demonstration framework to perform force-based manipulation tasks,ar,Article,Rozo L.,,Universitat Politècnica de Catalunya,Barcelona,Spain,,,,,2013-01-01,January 2013,Intelligent Service Robotics,18612776,9500154152,18612784,Journal,6,1,,33-51,,,92,0,,,,"This paper proposes an end-to-end learning from demonstration framework for teaching force-based manipulation tasks to robots. The strengths of this work are manyfold. First, we deal with the problem of learning through force perceptions exclusively. Second, we propose to exploit haptic feedback both as a means for improving teacher demonstrations and as a human–robot interaction tool, establishing a bidirectional communication channel between the teacher and the robot, in contrast to the works using kinesthetic teaching. Third, we address the well-known what to imitate? problem from a different point of view, based on the mutual information between perceptions and actions. Lastly, the teacher’s demonstrations are encoded using a Hidden Markov Model, and the robot execution phase is developed by implementing a modified version of Gaussian Mixture Regression that uses implicit temporal information from the probabilistic model, needed when tackling tasks with ambiguous perceptions. Experimental results show that the robot is able to learn and reproduce two different manipulation tasks, with a performance comparable to the teacher’s one.",NO
