,doi,pubmed_id,title,subtype,subtypeDescription,creator,affilname,affiliation_city,affiliation_country,publicationName,aggregationType,volume,pageRange,citedby_count,abstract,include?,
80,10.1016/j.softx.2020.100426,,Connecting the CoppeliaSim robotics simulator to virtual reality,ar,Article,Bogaerts B.,Universiteit Antwerpen,Antwerpen,Belgium,SoftwareX,Journal,11,,0,"The CoppeliaSim VR Toolbox provides a set of tools to experience CoppeliaSim robot simulation software in Virtual Reality and to return user interactions. Its primary focus is to create a platform that enables the fast prototyping and verification of robotic systems. Moreover, the generality of the toolbox ensures that it can be valuable in other contexts like robotics education, human–robot interaction or reinforcement learning. The software is designed to have a low entry threshold for moderately complex use cases, but can be extended to perform very complex visualizations for more experienced users.",SI,30
81,10.1007/978-3-030-39047-1_3,,AI—Assisted Chatbot for E-Commerce to Address Selection of Products from Multiple Products,ch,Chapter,Shafi P.M.,Smt. Kashibai Navale College of Engineering,Pune,India,"Studies in Systems, Decision and Control",Book Series,266,57-80,1,"Artificial Intelligence has been used nowadays increasingly to develop and advance numerous fields and industries, including finance, healthcare, education, transportation, and more. Machine Learning is a subset of AI techniques which includes various algorithms that gives machines the ability to learn from data or while interacting with the world without being explicitly programmed. E-commerce websites are trending nowadays due to online shopping makes customer’s life easier. Similar to this, Chatter Robots i.e. Chatbots are providing better customer service through Internet. A chatbot is a computer or software program for simulating intelligent conversations with human using rules or artificial intelligence for machine. Users can interact with the chatbot program via conversational interface through written or spoken text as input. With the help of E-commerce website sellers can reach to larger audience and with the help of chatbots, sales can be increased by personal interaction with the users. Chatbots will welcome a user to conversation, guide to customer to make purchase which will reduce customer’s struggle. Chatbots will ask customers all the relevant questions to find the perfect fit, style, and color for them. Chatbots are the future of marketing and customer support. Chatbots are one such means of technology which helps humans in a lot of ways, by helping them in e-commerce to increase sales whilst providing great customer satisfaction.",,30
82,10.1007/978-3-030-18141-3_12,,Engaging Learners in Dialogue Interactivity Development for Mobile Robots,cp,Conference Paper,Baxter P.,University of Lincoln,Lincoln,United Kingdom,Advances in Intelligent Systems and Computing,Book Series,946 AISC,147-160,1,"The use of robots in educational and STEM engagement activities is widespread. In this paper we describe a system developed for engaging learners with the design of dialogue-based interactivity for mobile robots. With an emphasis on a web-based solution that is grounded in both a real robot system and a real application domain – a museum guide robot – our intent is to enhance the benefits to both driving research through potential user-group engagement, and enhancing motivation by providing a real application context for the learners involved. The proposed system is designed to be highly scalable to both many simultaneous users and to users of different age groups, and specifically enables direct deployment of implemented systems onto both real and simulated robots. Our observations from preliminary events, involving both children and adults, support the view that the system is both usable and successful in supporting engagement with the dialogue interactivity problem presented to the participants, with indications that this engagement can persist over an extended period of time.",SI,30
83,10.1007/978-3-030-35252-3_3,,Assisting students to understand mathematical graphs using virtual reality application,ch,Chapter,Sundaram S.,Maharaja Agrasen Institute of Technology,New Delhi,India,Studies in Computational Intelligence,Book Series,875,49-62,0,"Many face difficulties in understanding mathematical equations and their graphs. Implementing virtual reality to plot graphs of the mathematical equation will help to understand the equations better. Virtual reality (VR) is a computer-generated environment in which a client can explore and collaborate with it. Virtual reality system allows a user to view three-dimensional images. VR has a wide range of applications. VR is being utilized in entertainment for gaming or 3D movies, in medicine for simulating the surgical environment, in robotics development and many more. VR has a wide scope of application in the education system though only a few kinds of research have been proposed. In this paper, we have introduced a new approach to making the user understand any mathematical equation better by plotting their graph using virtual reality application. Unity, a real-time engine and C# are being used to develop this novel approach. The proposed method will be compared with current method of learning mathematical equations.",NO,30
84,10.1007/978-981-13-7403-6_7,,An Educational Chatbot for Answering Queries,cp,Conference Paper,Sinha S.,Institute of Engineering and Management,Kolkata,India,Advances in Intelligent Systems and Computing,Book Series,937,55-60,3,"The fast progress in the development of communication and information has made people very diverse in knowledge improvement, education, and learning methods. In this paper, we show how we can convert documents into the knowledge of a chatter robot. It helps users to make profit out of it by asking and answering queries, using electronic documents which are integrated with the simulated system. Hence, we are motivated to develop an educational chatbot system which provides a virtual assistant. Its main function is to streamline and to automate manual and administrative tasks while supporting other course-related activities. The aim of this research work is to develop a system which is automated and can provide an answer to a question asked by a user on behalf of a person, for educational purposes. We have focused on the local as well as Web databases to make the model user-friendly, interactive, and scalable.",NO,30
85,10.1007/978-981-13-9539-0_50,,The design and development of an interactive teaching tool for robotics and control system course using rapid control prototyping solution,cp,Conference Paper,Hong R.,Universiti Sains Malaysia,Gelugor,Malaysia,Lecture Notes in Mechanical Engineering,Book Series,,515-525,1,"Control systems of robot manipulators offer many challenges in education where the students must learn robot dynamics and control structures, and understand relations between the control parameters, and the systems performance. Interactive simulation is aimed at improving the understanding and intuition for the abstract parts of the control of robot courses. Implementation of the control design on a robot manipulator significantly impress and improve the understanding towards the control system learning. This paper presents an application of interactive simulation designed by using the National Instrument’s (NI) LabVIEW to teach control systems of robots by using the Rapid Control Prototyping method. The application considers a nonlinear robot arm and two control modules: computed torque control and PID control. For the computed torque control module, user can directly manipulate graphical representation of the systems such as choice in controller gains, desired trajectories and obtain instant feedback on the effects. PID control module will be the implementation on PID control to a well-developed 2 degree of freedom (DOF) planar robot arm through NI MyRIO-1900. User can visualize the performance of the real robotic system and manipulate the control parameters through user interface. These features make the interactive learning tool stimulating and of high pedagogical value.",SI,30
86,10.1007/978-3-030-20190-6_4,,CrazyS: A Software-in-the-Loop Simulation Platform for the Crazyflie 2.0 Nano-Quadcopter,ch,Chapter,Silano G.,Università degli Studi del Sannio,Benevento,Italy,Studies in Computational Intelligence,Book Series,831,81-115,2,"This chapter proposes a typical use case dealing with the physical simulation of autonomous robots (specifically, quadrotors) and their interfacing through ROS (Robot Operating System). In particular, we propose CrazyS, an extension of the ROS package RotorS, aimed to modeling, developing and integrating the Crazyflie 2.0 nano-quadcopter in the physics based simulation environment Gazebo. Such simulation platform allows to understand quickly the behavior of the flight control system by comparing and evaluating different indoor and outdoor scenarios, with a details level quite close to reality. The proposed extension, running on Kinetic Kame ROS version but fully compatible with the Indigo Igloo one, expands the RotorS capabilities by considering the Crazyflie 2.0 physical model, its flight control system and the Crazyflie’s on-board IMU, as well. A simple case study has been considered in order to show how the package works and how the dynamical model interacts with the control architecture of the quadcopter. The contribution can be also considered as a reference guide for expanding the RotorS functionalities in the UAVs field, by facilitating the integration of new aircrafts. We rel5,eased the software as open-source code, thus making it available for scientific and educational activities.",SI,30
87,10.1088/1742-6596/1391/1/012130,112332,Use of Robotic Simulation in the training of Nursing Students of the Faculty of Health Sciences: Perceptions,cp,Conference Paper,Romero A.,Universidad del Magdalena,Santa Marta,Colombia,Journal of Physics: Conference Series,Conference Proceeding,1391,,0,"Clinical simulation is rapidly becoming an important tool in the training of students who pursue a career in nursing as a viable complement or a substitute for practice with living patients. Although simulation can never replace real clinical practice, it is a useful tool to create realism before performing practical skills during patient care. Robotic simulation can create real scenarios that not only test knowledge, but also provide a safe environment for practicing advanced concepts and difficult patient situations. Members of the nursing faculty often have the challenge of preparing nurses for complex environments and working with interdisciplinary teams. In addition, health care administrators expect a basic competency from new nursing graduates who are prepared to function in the complex work environment independently after orientation. An exploratory and descriptive study was conducted using surveys among the students of the nursing program on the use of a humanoid robot for teaching nursing in the laboratory of practices of the Magdalena University. The results of this study indicate that, in the program and students are positively motivated about the use of technology as a teaching strategy (especially humanoid robots), which suggests a greater exploration of its use in education Nursing.",NO,30
89,10.1002/cae.22160,,Advanced robotics analysis toolbox for kinematic and dynamic design and analysis of high-DOF redundant serial manipulators,ar,Article,Ozakyol H.,Kocaeli Üniversitesi,Kocaeli,Turkey,Computer Applications in Engineering Education,Journal,27,1429-1452,0,"This study aimed to develop a toolbox for kinematic and dynamic modeling and analysis of the high degree-of-freedom (DOF), redundant serial robots used widely in cooperative and space applications. With the Advanced Robotics Analysis Toolbox (ARAT), kinematic and dynamic modeling and analysis of the complex, high DOF, serial robots which may have universal, spherical, prismatic, or rotational joints with more than one DOF and a mobile or stationary base can be easily accomplished. The ARAT was used to design and analyze different complex structures of serial robots for robotic education students and robotics researchers who design and build exceptional new robots. The robot's kinematic and dynamic parameters including link lengths, directions, masses and inertias can be entered into the ARAT using a user-friendly interface. Solid models of the robots can be created in a three dimensional (3D) environment for virtual reality simulations. In the ARAT, forward and inverse kinematic models, Jacobian matrix, trajectory planning, forward and inverse dynamic models can be produced in a computationally efficient way. All of the physical robot parameters such as angular and linear velocities, accelerations, forces, and torques at the joints, link origins and the center of mass of the links can be computed in 3D. The ARAT includes support for the most commonly used trajectory algorithms in serial robots, including polynomial, trigonometric (harmonic, cycloidal, elliptic), exponential, Gaussian, and Fourier-based (Gutman, Freudenstein). These trajectories can be applied easily to each joint of the robots. To compare the kinematic and dynamic results obtained from ARAT and MATLAB-Simscape Multibody simulation program, different structures of the serial robots were simulated in both programs. The results that produced from ARAT and MATLAB-Simscape were similar. The ARAT is much better from the serial robot simulation toolboxes existing in literature in terms of computation capability, visual ability, and easy usage.",,30
91,10.1109/LARS-SBR-WRE48964.2019.00086,,Programming teaching using flowcharts in a simulated environment focused on introducing practical OBR,cp,Conference Paper,Fabro J.A.,Universidade Tecnologica Federal do Parana,Curitiba,Brazil,"Proceedings - 2019 Latin American Robotics Symposium, 2019 Brazilian Symposium on Robotics and 2019 Workshop on Robotics in Education, LARS/SBR/WRE 2019",Conference Proceeding,,453-458,3,"Educational robotics is an approach that uses robotics as a mean to aid in the learning process, fundamentally of more abstract concepts. In the practical OBR - the Brazilian Robotics Olympiad - students from ages 6 to 18 participate by constructing/programming robots, using concepts of physics, mathematics, and programming, in order to understand complex and abstract concepts. In this paper, an approach to aid in introductory programming courses, focused on students that had never had any contact with computer programming, is presented. The approach presents programming concepts using icons and ""flowcharts"", and a 3D robotics simulator (V-REP), that has free educational use. The Robotic Operating System (ROS) is also used. The programs to control the robot are developed by graphically constructing fluxograms on the visual editor, and then following the execution of programs using the simulated robot, step by step. Experiments were performed with students in order to evaluate the proposed approach, and the students found the proposal intuitive and easy to understand.",SI,30
92,10.1109/RO-MAN46459.2019.8956415,,Classroom Group Formation Model Based on Socion Theory Considering Communication in Social Networking Services,cp,Conference Paper,Naito K.,Nagoya Institute of Technology,Nagoya,Japan,"2019 28th IEEE International Conference on Robot and Human Interactive Communication, RO-MAN 2019",Conference Proceeding,,,0,"In recent years, Social Networking Services (SNS) have become popular among young people. Unfortunately, as SNS usage has increased, cyberbullying has also increased and has become a social problem. Several previous studies have employed multi-agent simulation, which can be used to analyze human relationships, to identify bullying mechanisms. In this study, we model SNSs in a classroom and apply multi-agent simulation to analyze the influence of SNSs on classroom friendships. We focus on junior high school students as our research object. In the proposed model, which is based on socion theory, an agent can communicate with other agents using two types of networks: a classroom network and SNS networks, via a network which recognized by each individual (in socion theory, people have mental networks that reflect society). Agents communicate face to face (FTF) in the classroom and using SNS in their SNS groups. In addition, agents have social skills and are categorized based on these social skills. In this study, we simulate friendship relations considering SNSs and discuss the influence of SNSs on classroom relationships based on the simulation results. We performed two simulations; one only involved FTF communication and the others involved both FTF and SNS communication. We compare the two simulations and discuss the results. We found that, compared to FTF communication, the average likability rating of agents increased with SNS communication. On the other hand, we also found that specific agents were rejected. We consider that sharing information over SNSs is related to increased bullying. In conclusion, we discuss applying to educational robots from results.",,30
93,10.1109/ICMECT.2019.8932131,,Model-Based Design for a Self-Balancing Robot using the Arduino Micro-Controller Board,cp,Conference Paper,Philippart V.Y.,Fontys University of Applied Sciences,Eindhoven,Netherlands,"2019 23rd International Conference on Mechatronics Technology, ICMT 2019",Conference Proceeding,,,4,"Self-balancing robot control is a common way to challenge students in control-oriented courses to stabilize an unstable, non-linear dynamic system. This paper presents an application of model-based design on a self-balancing robot using the Arduino Due micro-controller board. The system consists of a set DC-motors with quadrature encoders, a nine degree of freedom (9-DOF), a Bluetooth module, a motor controller and a micro-controller. By utilizing cheap off-the-shelf hardware and applying model-based design techniques and simulations an accessible learning environment is created. Both the PID and LQR controllers will be discussed for their educational value.",NO,30
94,10.1109/SVR.2019.00025,,3DJPi: An open-source web-based 3D simulator for pololu's 3Pi platform,cp,Conference Paper,Maggi L.O.,Universidade Federal de Pernambuco,Recife,Brazil,"Proceedings - 2019 21st Symposium on Virtual and Augmented Reality, SVR 2019",Conference Proceeding,,52-58,0,"Line-following robots can recognize and follow a line drawn on a surface. Their operating principles have elements that could be used in the development of numerous autonomous technologies, with applications in education and industry. This class of robots usually represent the first contact students have with educational robotics, being used to develop students' logic thinking and programming skills. The cost of robotic platforms is still prohibitive in low-budget schools and universities, which makes almost impossible having a platform for each small group of students in a classroom, harming the learning process. This work proposes a 3D web-based open-source simulator for Pololu's 3Pi line-following robots, making such technology more accessible and available even for distance learning courses. The developed software simulates the robot's physical structure, behavior, and operations - as being able to read surfaces -, enabling the user to observe the robot following the line as the code commands. The simulator was validated based on experiments that included motion analysis and time measurements of pre-stablished tasks so that its execution could be more coherently based on what happens in reality.",SI,30
95,10.1109/ICSTCC.2019.8885824,,Optimal control of the complete assembly/disassembly cycle for a mechatronics line prototype,cp,Conference Paper,Duca O.,Universitatea Valahia din Targoviste,Targoviste,,"2019 23rd International Conference on System Theory, Control and Computing, ICSTCC 2019 - Proceedings",Conference Proceeding,,620-625,2,"The aim of this paper is to define a control strategy for complete manufacturing cycle of an assembly/disassembly educational mechatronics line (EML), assisted by a complex autonomous system (CAS), a wheeled mobile robot (WMR) equipped with robotic manipulator (RM). By reversibility we mean that the line is able to perform automatic disassembly of the product detected as defect. Disassembly starts after the assembly process and after the assembled piece fails the quality test, in order to recover the parts. The CAS is used only during disassembly, to transport the parts from the disassembling locations to the storage locations. The disassembly workstation, designed and implemented as a prototype structure, functions as an integrated system in the automized control of the SMART Assembly Mechatronic Line (SAML), on which the research was made. For the control of the complete cycle assembly/disassembly mechatronic line, was identified a strategy that will be subordinated to the concepts of energetical optimization and high productivity. For this purpose, the EML served by CAS, having a specific typology, are modelled by specialized hybrid instruments belonging to Petri Nets class: Timed Petri Nets (TPN), Hybrid Petri Nets (SHPN). The results of the simulations highlight the coherence of the control structure and the absence of blockages in the dynamics of the simulated processes: assembly, disassembly, recovery of the components in warehouses. Using these models and the optimization results, a real-time control structure has been designed and implemented, allowing automated assembly and disassembly, assisted by a CAS.",NO,30
97,10.1088/1757-899X/568/1/012061,,"CodeSys modeling of an industrial cell, and linear drive control with PLC &amp; ATmega2560 microcontrollers for testing and improvement purposes",cp,Conference Paper,Pajkos T.,Debreceni Egyetem Műszaki Kar,Debrecen,Hungary,IOP Conference Series: Materials Science and Engineering,Conference Proceeding,568,,0,"In this document, the upgrades of the robotics lab at the University of Debrecen, faculty of engineering will be detailed. As the first part of the task, the conversion and upgrade of the KUKA KR5's cube holder were done. As a result, the cube holder (feeder) can count the added and removed cubes, while also displays their current amount in the holder. The completion of the other task enriched the existing robot cell with the addition of a liner drive powered system, complete with a test panel, which can even be used for educational purposes in the future. And lastly, as a summary, the simulation of a manufacturing process in the robot cell was also completed.",NO,30
98,10.1109/CBS46900.2019.9114395,,The neurorobotics platform for teaching - Embodiment experiments with spiking neural networks and virtual robots,cp,Conference Paper,Tieck J.C.V.,FZI Forschungszentrum Informatik,Karlsruhe,Germany,"2019 IEEE International Conference on Cyborg and Bionic Systems, CBS 2019",Conference Proceeding,,291-298,0,"Understanding the brain is an interdisciplinary effort spanning over the fields of computational neuroscience, machine learning and robotics. The collaboration between researchers across these fields should be encouraged by comprehensive simulation platforms. The Neurorobotics Platform (NRP) developed by the Human Brain Project enables such collaboration by allowing researchers to define virtual experiments in which brain models are connected to simulated robots. In this paper, we present how we use the NRP as an education tool to introduce master students to neurorobotics. The students are given the task to define, implement and solve three virtual neurorobotics challenges related to perception, arm motion and locomotion. Without any previous knowledge on neurorobotics, the students completed this task within the course of one semester. We present the challenges, which are now open-source benchmarks available online, as well as example solutions from the students to these challenges. This paper gives a glimpse of what new users are capable of by using the NRP to simulate their neurorobotics experiment. Aside from educating the students, this initiative also allowed to collect their direct feedback on the NRP. This feedback is valuable for the Human Brain Project as a whole since it helps identify how new users interact with the platform.",NO,30
99,10.1109/EAEEIE46886.2019.9000435,,Virtual reality in research and education: A case study,cp,Conference Paper,Lhotska L.,Ceské vysoké ucení technické v Praze,Prague,Czech Republic,"29th Annual Conference of the European Association for Education in Electrical and Information Engineering, EAEEIE 2019 - Proceedings",Conference Proceeding,,,0,"First virtual reality (VR) applications were in gaming. Since that time, both the hardware and software reached maturity and new areas for applications opened. Industry and healthcare are very different application areas. But they also share some similarities, in particular simulations as close to reality as possible allow to train necessary skills without the danger of damaging machinery or causing a patient injury and to avoid critical situations. We present several examples of VR applications in various industrial areas. VR is not used on its own but it is interconnected with other advanced technologies, such as robotics and Internet of Things. In healthcare, several studies were performed that proved VR being a suitable means for treatment of certain health problems or an additional tool, for example in pain alleviation. Finally we discuss how VR can be used in university education not only as a tool for viewing 3D objects and scenes passively, but also as a tool for active interaction and execution of defined tasks.",NO,30
101,10.1109/ETFA.2019.8869000,,Simulation Tool for Analyzing the Kinetostatic Effects of Singularities in Parallel Robots,cp,Conference Paper,Peidró A.,Universidad Miguel Hernandez de Elche,Elche,Spain,"IEEE International Conference on Emerging Technologies and Factory Automation, ETFA",Conference Proceeding,2019-September,812-819,0,"Singularities produce important changes in the kinetostatic properties of parallel robots, such as the ability to resist external forces with zero actuation torques (or the inability to resist them at all), or losses of control or dexterity. These kinetostatic effects of singularities can be graphically visualized by means of four velocity and force ellipsoids that degenerate when the robot crosses a singularity. This paper presents an educational simulation tool to help students to understand these effects by means of the visualization of the aforementioned ellipses, at the same time that the PID control of the robot is simulated under external forces, in order to demonstrate how singularities affect the control of the robot.",NO,30
102,10.1007/s11804-019-00097-3,,Development of an Inexpensive Decentralized Autonomous Aquatic Craft Swarm System for Ocean Exploration,ar,Article,Miao R.,Harbin Engineering University,Harbin,China,Journal of Marine Science and Application,Journal,18,343-352,2,"Swarm robotics in maritime engineering is a promising approach characterized by large numbers of relatively small and inexpensive autonomous aquatic crafts (AACs) to monitor marine environments. Compared with a single, large aquatic manned or unmanned surface vehicle, a highly distributed aquatic swarm system with several AACs features advantages in numerous real-world maritime missions, and its natural potential is qualified for new classes of tasks that uniformly feature low cost and high efficiency through time. This article develops an inexpensive AAC based on an embedded-system companion computer and open-source autopilot, providing a verification platform for education and research on swarm algorithm on water surfaces. A topology communication network, including an inner communication network to exchange information among AACs and an external communication network for monitoring the state of the AAC Swarm System (AACSS), was designed based on the topology built into the Xbee units for the AACSS. In the emergence control network, the transmitter and receiver were coupled to distribute or recover the AAC. The swarm motion behaviors in AAC were resolved into the capabilities of go-to-waypoint and path following, which can be accomplished by two uncoupled controllers: speed controller and heading controller. The good performance of velocity and heading controllers in go-to-waypoint was proven in a series of simulations. Path following was achieved by tracking a set of ordered waypoints in the go-to-waypoint. Finally, a sea trial conducted at the China National Deep Sea Center successfully demonstrated the motion capability of the AAC. The sea trial results showed that the AAC is suited to carry out environmental monitoring tasks by efficiently covering the desired path, allowing for redundancy in the data collection process and tolerating the individual AACs’ path-following offset caused by winds and waves.",NO,30
103,10.1007/s12008-019-00551-0,,Designing a teaching guide for the use of simulations in undergraduate robotics courses: a pilot study,ar,Article,González-García S.,Tecnologico de Monterrey,Monterrey,Mexico,International Journal on Interactive Design and Manufacturing,Journal,13,923-933,1,"In the educational area of engineering, there has been research using simulations to illustrate the concepts and exercises seen in class, as in the case of robotics course classes in which simulations have been used to demonstrate theoretical concepts. Results have been inconclusive whether or not the use of state-of-the-art simulations with traditional teaching methods improve the academic performance of students. From the point of view of the authors, some of these negative results could be because teachers do not receive any guidance on how to incorporate the use of simulations in their teaching strategy. This paper reports the evaluation of a platform to simulate industrial robots based on the MATLAB™ and Simulink™ environment. The platform was used by 3 teachers of undergraduate robotics courses. Each teacher was trained how to use the platform. For teachers of groups A and B, in addition to this training, they also received guidance on how to use the platform in their classes, while the teacher of group C freely decided on his own how to use the platform in his classes. In each group, the teacher covered the same topics about forward kinematics, and the same exercises were given to the students to solve during the practical sessions. As a result, students in groups A and B attained better academic performance compared to students of group C. This fact shows that it is necessary to train the professors not only in the use of the platform but also in the incorporation of this technology into their courses.",SI,30
104,,,A framework for ontology-driven similarity measuring using vector learning tricks,ar,Article,Chen M.,Guangdong Polyechnic of Environmental Protection Engineering,,China,Engineering Letters,Journal,27,549-558,4,"Ontology learning problem has raised much attention in semantic structure expression and information retrieval. As a powerful tool, ontology is evenly employed in various subjects, such as neuroscience, medical science, pharmacopedia, chemistry, education and other social science. Ontology similarity measuring plays a vital role in practical implementations since essential issues of ontology mapping are also similarity calculating. In ontology function learning, one learns a real valued score function that assigns scores to each",NO,30
105,10.1002/9781119491590.ch10,,The tactile internet over 5G FiWi architectures,ch,Chapter,Ebrahimzadeh A.,Institut National de la Recherche Scientifique,Quebec,Canada,Optical and Wireless Convergence for 5G Networks,Book,,197-223,0,"Summary

The Tactile Internet (TI) holds great promise to have a profound socio-economic impact on a broad array of applications in our everyday life, ranging from industry automation and transport systems to healthcare, telesurgery, and education. This chapter focuses on the proposed fiber-wireless (FiWi) enhanced LTE-Advanced heterogeneous networks, on which emerging 5G systems are envisioned to rely. It presents in-depth technical insights into realizing human-in-the-loop centric teleoperation TI over FiWi enhanced networks, including trace-based haptic traffic modeling, perceptual deadband coding, haptic sample forecasting, and trace-driven simulations. Collaborative computing based human-to-robot communications in advanced FiWi based TI infrastructures may offer significant benefits in terms of improved task execution time, cost reduction, and scalability. Collaboration and communication among humans-are-better-at/machines-are-better-at members is important to cope with dynamic changes in the task environment. TI traffic is expected to require the underlying communication networks to undergo profound modifications, both from architectural and medium access control viewpoints.",NO,30
106,10.3390/electronics8080899,,Pybokids: An innovative python-based educational framework using real and simulated Arduino robots,ar,Article,Vega J.,Universidad Rey Juan Carlos,Mostoles,Spain,Electronics (Switzerland),Journal,8,,9,"In western countries, robotics is becoming increasingly common in primary and secondary education, both as a specific discipline and a tool to make science, technology, engineering, and mathematics (STEM) subjects more appealing to children. The impact of robotics on society is also growing yearly, with new robotics applications in such things as autonomous cars, vacuum cleaners, and the area of logistics. In addition, the labor market is constantly demanding more professionals with robotics skills. This paper presents the PyBoKids framework for teaching robotics in secondary school, where its aim is to improve pre-university robotics education. It is based on the Python programming language and robots using an Arduino microprocessor. It includes a software infrastructure and a collection of practical exercises directed at pre-university students. The software infrastructure provides support for real and simulated robots. Moreover, we describe a pilot teaching project based on this framework, which was used by more than 2000 real students over the last two years. View Full-Text",,30
107,10.1145/3306306.3328002,,Programming embroidery with turtlestitch,cp,Conference Paper,Wolz U.,RiverSound Solutions,Montclair,United States,"ACM SIGGRAPH 2019 Studio, SIGGRAPH 2019",Conference Proceeding,,,0,"TurtleStitch (turtlestitch.org) is a browser-based educational programming language descendent from Snap! and Scratch that supports creative computation to generate patterns for embroidery machines. It is easy to use, requiring no prior knowledge of programming, yet powerful in creating novel embroidery. It is used by designers to experiment with generative aesthetics and precision embroidery. It is also a vehicle for innovative workshops combining an introduction to programming with a haptic output. It has been used as part of semester long undergraduate courses in contextualize computing emphasizing textile crafting. This installation provides participants with an opportunity to develop expertise in using the web-based TurtleStitch software to create an embroidery pattern of their own. An embroidery machine is viewed as a robot that uses a stored algorithm to navigate a sewing needle on fabric to render a design. Attendees will have an opportunity to learn to use the available embroidery machines and become familiar with how simulated perfection translates to real-time machine robotics. Participants can take away a small embroidery 'patch' of their own design. Those interested in collaborative design may contribute to one or more large tapestry quilt projects to be completed during SIGGRAPH. Those with an interest in computation may explore foundational concepts such as the power of parameters, unraveling concurrency to efficiently support multiple colors, and path finding algorithms to produce designs without jump stitches.",NO,30
108,10.1088/1757-899X/542/1/012079,,Mechanical Design of Service Robot for Shuttlecock Sports,cp,Conference Paper,Chunlai T.,Pingxiang University,,China,IOP Conference Series: Materials Science and Engineering,Conference Proceeding,542,,0,"Shuttlecock ball is a popular sport in modern society which including entertainment, skills, mass, fitness, popularity and education. The current status artificial ball picking during the training and sports of the shuttlecock sports was reviewed in this paper. Based on the main structure and working principle of the picking robot, it was designed and presented here. It is designed by the three-dimensional CAD software. Through motion simulation analysis, the actual working process of the shuttlecock collection robot was shown. The structure design and motion simulation analysis of the whole machine were carried out and it verified the feasibility of the design. The shuttlecock collection robot is used of retrieving, sorting and placing the shuttlecock. It could effectively solve the inconvenience cause by the manual collecting in shuttlecock ball sports.",NO,30
109,,,"University, community college, and industry partnership: Revamping Robotics Education to Meet 21st Century Workforce Needs - NSF-sponsored Project Final Report",cp,Conference Paper,Sergeyev A.,Michigan Technological University,Houghton,United States,"ASEE Annual Conference and Exposition, Conference Proceedings",Conference Proceeding,,,1,"Recently, educators have worked to improve STEM education at all levels, but challenges remain. Capitalizing on the appeal of robotics is one strategy proposed to increase STEM interest. The interdisciplinary nature of robots, which involve motors, sensors, and programs, make robotics a useful STEM pedagogical tool. There is also a significant need for industrial certification programs in robotics. Robots are increasingly used across industry sectors to improve production throughputs while maintaining product quality. The benefits of robotics",,30
111,,,Embedded systems learning using current technical platforms,cp,Conference Paper,Chu Y.,University of Texas Rio Grande Valley,Brownsville,United States,"ASEE Annual Conference and Exposition, Conference Proceedings",Conference Proceeding,,,0,"This paper describes the study of embedded system hands-on labs, which can provide students to explore current technical issues for hardware and software design. The pedagogical approach for this paper is based on the team-based learning. This paper recommends using one or two popular boards, such as Raspberry Pi and Arduino, as embedded system platforms. The Raspberry Pi is a small (900 MHz quad-core ARM Cortex-A7 CPU) single-board computer developed by the Raspberry Pi Foundation and Arduino is",,30
112,,,Virtual robot labs for programming industrial robot course,cp,Conference Paper,Mikhail M.,Purdue University Northwest,Westville,United States,"ASEE Annual Conference and Exposition, Conference Proceedings",Conference Proceeding,,,0,"Robotics and automation continue to be implemented across a multitude of process control applications, and will require an ever-increasing number of individuals with technical backgrounds in electrical engineering, and mechatronics. It is thus increasingly important that institutions of higher learning facilitate a means for learning skills which will position graduates for immediate contribution into these areas. At present educational institutions who offer robotics will undoubtedly have access to industrial robots, however due to the",,30
113,,,Assessment of quantum mechanical concepts,cp,Conference Paper,Ross R.A.,University of Detroit Mercy,Detroit,United States,"ASEE Annual Conference and Exposition, Conference Proceedings",Conference Proceeding,,,0,"The University of XX offers a comprehensive engineering program with degrees in mechanical, civil, robotics and mechatronic systems, electrical, computer, environmental, and architectural engineering. The College of Engineering & Science has a well-established co-operative education program with a long history of placing graduates into the workforce upon graduation.",,30
114,,,A workshop on new horizons for next generation manufacturing with student robotics learning experience,cp,Conference Paper,Chiou R.,Drexel University,Philadelphia,United States,"ASEE Annual Conference and Exposition, Conference Proceedings",Conference Proceeding,,,0,"The swift development of manufacturing within the US has generated much interest in various industries. These industries include Food, Electronics, Medical, Energy, and Urban Manufacturing. Due to the traction of interest, large investments have been promoted by commercial and governmental organizations to promote innovative solutions from various disciplines to reduce costs, increase revenue, and remain a global competitor. The workshop provided insight to historical contexts of manufacturing provided by industry",NO,30
115,,,Development of bio-inspired robotics course,cp,Conference Paper,Vejdani H.,Lawrence Technological University,Southfield,United States,"ASEE Annual Conference and Exposition, Conference Proceedings",Conference Proceeding,,,0,"In this paper, the development of a new senior level course and its outcome results are presented. This course was offered during spring 2018 at Lawrence Technological University (LTU) for senior level undergraduate and graduate students. The course entitled �Bio-inspired robotics� and was offered as a tech-elective course for our undergraduate students in mechanical engineering department and robotics engineering. The course focused on legged locomotion in nature and its development to robotics engineering. The",NO,30
