doi,pubmed_id,title,subtype,subtypeDescription,creator,affilname,affiliation_city,affiliation_country,publicationName,aggregationType,volume,pageRange,citedby_count,openaccess,url,abstract,include?
10.3390/app10217419,,A ROS-based open tool for intelligent robotics education,ar,Article,Cañas J.M.,Universidad Rey Juan Carlos,Mostoles,Spain,Applied Sciences (Switzerland),Journal,10,ene-20,1,1,https://www.mdpi.com/2076-3417/10/21/7419,"This paper presents an open-access platform for practical learning of intelligent robotics in engineering degrees: Robotics-Academy. It comprises a collection of exercises including recent service robot applications in real life, with different robots such as autonomous cars, drones or vacuum cleaners. It uses Robot Operating System (ROS) middleware, the de facto standard in robot programming, the 3D Gazebo simulator and the Python programming language. For each exercise, a software template has been developed, performing all the auxiliary tasks such as the graphical interface, connection to the sensors and actuators, timing of the code, etc. This also hosts the student’s code. Using this template, the student just focuses on the robot intelligence (for instance, perception and control algorithms) without wasting time on auxiliary details which have little educational value. The templates are coded as ROS nodes or as Jupyter Notebooks ready to use in the web browser. Reference solutions for illustrative purposes and automatic assessment tools for gamification have also been developed. An introductory course to intelligent robotics has been elaborated and its contents are available and ready to use at Robotics-Academy, including reactive behaviors, path planning, local/global navigation, and self-localization algorithms. Robotics-Academy provides a valuable complement to master classes in blended learning, massive online open courses (MOOCs) and online video courses, devoted to addressing theoretical content. This open educational tool connects that theory with practical robot applications and is suitable to be used in distance education. Robotics-Academy has been successfully used in several subjects on undergraduate and master’s degree engineering courses, in addition to a pre-university pilot course. View Full-Text",1
10.23919/MIPRO48935.2020.9245362,,Interactive approach to digital logic,cp,Conference Paper,Spoljaric M.,Virovitica College,,Croatia,"2020 43rd International Convention on Information, Communication and Electronic Technology, MIPRO 2020 - Proceedings",Conference Proceeding,,1601-1606,0,0,https://ieeexplore.ieee.org/document/9245362,"Digital systems are designed to store, process, and communicate information in digital form, widely used in different spheres both of everyday life and science, including education, process control, digital instruments, computer science, robotics, telecommunications etc. In order to understand how digital systems are operated, basic knowledge of digital circuits and their logical function is required. Digital Logic is the topic shared between three courses taught at the Virovitica College (Mathematics I, Digital electronics, Computer Architecture) as a part of the Undergraduate Professional Study of Electrical Engineering. In this paper interactive approach to the topic of Digital Logic is presented. This is achieved in few steps: students are introduced to the theoretical background of the topic and computational simulation of digital circuits are performed. Based on the theory and simulations, practical exercises at the Laboratory for Electrical Engineering have been done.",0
10.1109/FORTEI-ICEE50915.2020.9249943,,Vision-Based Line following Robot in Webots,cp,Conference Paper,Ma'arif A.,Universitas Ahmad Dahlan,Yogyakarta,Indonesia,"Proceeding - 1st FORTEI-International Conference on Electrical Engineering, FORTEI-ICEE 2020",Conference Proceeding,,24-28,0,0,https://ieeexplore.ieee.org/document/9249943,"Line following robot is one of the popular robots commonly used for educational purposes. The most widely used sensors for the robots are photoelectric sensors. However, it is irrelevant, along with the development of autonomous vehicles and robotic vision. Robotic vision is a robot that can obtain information through image processing by the camera. The camera installed on the line following robot aims to detect image-based lines and to navigate the robot to follow the path. This paper proposed a method of image preprocessing along with its robot action for line-following robots. This includes image preprocessing such as dilation, erosion, Gaussian filtering, contour search, and centerline definition to detect path lines and to determine the proper robot action. The implementation of the robot is simulated using Webots simulator. OpenCV and Python are utilized to design line detection systems and robot movements. The simulation result shows that the method is implemented properly, and the robot can follow a different type of path lines such as zigzag, dotted, and curved line. The resolution of the cropped-image frame is the fundamental parameter in detecting path lines.",0
10.1080/1463922X.2019.1683913,,"You say it is physical, I say it is functional; let us call the whole thing off! Simulation: an application divided by lack of common language",ar,Article,Roberts A.P.J.,University of Southampton,Southampton,United Kingdom,Theoretical Issues in Ergonomics Science,Journal,21,507-536,2,0,https://www.tandfonline.com/doi/full/10.1080/1463922X.2019.1683913,"Simulations are utilised in various domains for purposes of training, research, education and entertainment. Continuing technological advancement, along with a striving for higher levels of immersion, transfer and user satisfaction has driven the design of increasingly complex simulators. Economic viability, portability and usability of such simulators have simultaneously decreased, prompting a contemporary examination of simulator fidelity. Simulator fidelity is a poorly understood construct, notorious for its lack of clear definition. A wide range of terminology is used interchangeably, with subtle differences in the functionality of the language used not always clearly outlined. In the current manuscript, a comprehensive review of the literature informs clear definitions of fidelity, validity and transfer; the terms used are included in a definitions table and their connectivity outlined in a knowledge tree. The aim is to promote usage of clearly interpretable standardised terminology by professionals and researchers alike. The boundaries of the current work are acknowledged. It is suggested that future research should examine constructs such as fidelity, transfer and validity in relation to computational, robotic and automation simulation. The most immediate extension of the current work should capture a requirement to develop effective training interventions to govern operator use of automation using interactive simulation.",0
10.1386/eme_00048_1,,"A posthuman ecology of simulated human patients: Eidolons, empathy and fidelity in the uncanny embodiment of nursing practice",ar,Article,Ireland A.,University of Stirling,Stirling,United Kingdom,Explorations in Media Ecology,Journal,19,299-318,1,0,https://www.ingentaconnect.com/content/intellect/eme/2020/00000019/00000003/art00006;jsessionid=2gqmreddsggqh.x-ic-live-01,"The reproduction of the human form has been a universal practice amongst human ecologies for millennia. Over the past 200 years, popular culture has considered the imaginary consequences of the danger to humanity and human-ness of replicating the autonomous human form too faithfully. Today, the seductive allure of technologically advanced simulated human bodies and advances in robotics and artificial intelligence has brought us closer to facing this possibility. Alongside the simultaneous aversion and fascination of the possibility that autonomous simulated human forms may become indistinguishable from human beings is the deep-rooted uncanniness of the automaton in its strange familiarity – not only to ourselves but to our pleasant childhood imaginings of playing with dolls. As such, simulated human bodies are often enrolled in medical and nursing education models with the assumption that making the simulation teaching spaces seem as close to clinical spaces as possible will allow students to practise potentially harmful clinical skills without causing any harm to human patients. However similar the simulated human bodies may appear to a living, breathing human, a tension between the embodiment of particularly human attributes and their replication persists. How can computerized human patient simulators be enrolled to teach people to develop the necessary attributes of compassion and empathy when caring for human beings? This article explores the uncanny ecologies of simulated human patients in nursing education by presenting a posthuman analysis of the practices of nurse educators as they enrol these digital objects in their teaching. Guided by a selection of heuristics offered as a mode of interviewing digital objects, the analysis enrolled ‘Gathering Anecdotes’ and ‘Unravelling Translations’ to attune to the ways in which these uncanny posthuman assemblages become powerful modes of knowing to mobilize learning about human attributes within uncanny posthuman ecologies.",0
10.2112/JCR-SI104-049.1,,Control method based on sensor data for stable walking of a biped robot under port environment,ar,Article,Jing C.,Guizhou University of Finance and Economics,Guiyang,China,Journal of Coastal Research,Journal,104,271-275,0,0,https://bioone.org/journals/journal-of-coastal-research/volume-104/issue-sp1/JCR-SI104-049.1/Control-Method-Based-on-Sensor-Data-for-Stable-Walking-of/10.2112/JCR-SI104-049.1.short,"In spite of great improvement of walking ability after the merging of various walking techniques, there still exists a large gap between a biped robot and a person. In particular, under some complex environments such as port, the development and perfection of the control theory based on the detected sensor data are of great significance to achieving ideal walking ability for the robot. In this study, the detected sensor data are merged into the established dynamic model, and then, both the force and the moment of the connecting rod are accurately calculated for programming actual ZMP trajectory. Further, the data are sent to the slave computer for robot control, thereby enhancing the walking stability. The present simulation results prove that the biped robot can successfully realize stable walking.",0
10.1007/s12008-020-00672-x,,Engineering education for smart 4.0 technology: a review,ar,Article,Hernandez-de-Menendez M.,Tecnologico de Monterrey,Monterrey,Mexico,International Journal on Interactive Design and Manufacturing,Journal,14,789-803,4,0,https://link.springer.com/article/10.1007%2Fs12008-020-00672-x,"Industry 4.0 (I4), defined as the integration of information and communication technology with industrial advances to develop digital factories, will transform production processes by making them more efficient, green, and flexible. Manufacturers must overcome barriers to implement this approach; one of them is the lack of qualified talent to manage I4 systems. This paper is a review of the state-of-art of I4. The goal of this research is to describe the technologies that are enablers of I4, analyze the human talent needed and the qualifications (competencies/skills) required to manage I4 systems, describe the courses and practices that leading universities in engineering and technology are teaching for developing the I4 workforce, and provide a look to the future by presenting trends related to education in I4. Autonomous robots, simulation, horizontal and vertical integration, the Industrial Internet of Things, additive manufacturing, augmented reality, cybersecurity, the cloud, and Big Data and analytics are technologies considered pillars of the I4 approach. Nowadays, there are universities already offering programs related to I4. These range from those aimed at presenting the concepts of I4 to those in which students learn how to handle related technologies in real work in global enterprises. I4 is still evolving, and we present only a glimpse of what is required based on its current state. Continuous review of the I4 environment is necessary to determine opportunely the path that it will follow and, in consequence, the needs that will emerge in areas such as curricula content, competency requirements, and technologies.",0
10.1109/IRCE50905.2020.9199254,,Educational Robot Kiddo Learns to Draw to Enhance Interactive Handwriting Scenario for Primary School Children,cp,Conference Paper,Aktar Mispa T.,,,,IRCE 2020 - 2020 3rd International Conference on Intelligent Robotics and Control Engineering,Conference Proceeding,,87-91,1,0,https://ieeexplore.ieee.org/document/9199254,"Handwriting and drawing skills play a significant role in early childhood education. Recent studies suggest that robots currently being used in education are social robots where most of them don't write directly as the way humans do by holding a pen and moving it over a paper, besides, use an indirect medium such as touch screen as the shared environment which creates a noticeable barrier in natural interaction. In this work, we develop a new robot named Kiddo that sits on a desk, has an animatronic face, can write with a whiteboard marker, and provides a shared environment where the robot and a child can write simultaneously. The robot learns to write shapes by maneuvering its hand just like we humans do which creates a vivid image to the child interacting with it. We have used CNN based model to recognize and draw 100 shapes collected from the National Curriculum Bengali, English, and Mathematics textbook of Bangladesh. To learn new shapes from children's demonstration an artificial intelligence system was build which can generate path trajectories from a camera image. We experimented with three kids where they drew 18 known and 4 new shapes on the shared whiteboard and Kiddo was also able to recognize and draw 17 of the known shapes and learn to draw all the new shapes from the children's demonstration in both simulation and in real.",0
10.1002/cae.22282,,"A web-based integrated GUI for 3D modeling, kinematic study, and control of robotic manipulators",ar,Article,Dey U.,Indian Institute of Technology Kharagpur,Kharagpur,India,Computer Applications in Engineering Education,Journal,28,1028-1040,1,0,https://onlinelibrary.wiley.com/doi/10.1002/cae.22282,"The simulation-based analysis of any robotic system has emerged broadly in the past few years for application in educational and research enhancement. Currently, many simulation tools are available for different research areas on robotics with some advantages and limitations. In this study, the methodology of creating a web-based graphical user interface is proposed for motion simulations and kinematic study of industrial robotic manipulators. It describes simple and straightforward modeling techniques using Web Graphics Library for creating any three-dimensional virtual model of the robots within an HTML canvas for its motion simulation and different kinds of analysis. The positional kinematic study of the programmable universal machine for assembly 560 (PUMA 560) industrial robot through the developed interface is presented here, which helps in understanding the whole framework and can be implemented quickly for any other simulation system development. An essential aspect of the kinematic study of these serial chain robots is inverse kinematic analysis demonstrated with PUMA 560 robot with all the possible solutions. Finally, the interface is connected to an actual system following web-based communication architecture for remote control of the actual PUMA robot.",0
,,Exploring the VR-based PBD programming approach to teach industrial robotics in manufacturing education,cp,Conference Paper,Chang Y.H.I.,Illinois State University,Chicago,United States,"ASEE Annual Conference and Exposition, Conference Proceedings",Conference Proceeding,2020-June,,0,0,,"Traditionally industrial robots have been programmed on-line using a teach pendant or off-line using programming software. For novice users, using a teach pendant is ideal because the user moves the robot to specific points along the desired tool path, recording key locations in the robot program during the process. Once novice users grasp the basics of robot programming, off-line software is often used to program and simulate more complex robot motion without sacrificing the up time of the robot; points in space are specified and the",0
,,Work in Progress: Experiential modules using Texas instruments robotic system learning kit (TI RSLK) for teaching control systems,cp,Conference Paper,Ouyang J.,"University of California, Davis",Davis,United States,"ASEE Annual Conference and Exposition, Conference Proceedings",Conference Proceeding,2020-June,,0,0,,"Control Systems is usually a senior-level class in Electrical Engineering which serves as the opening gate towards important engineering fields such as robotics. Students usually take this class while they are excited to learn about practical control systems. However, the course content is traditionally composed of theoretical concepts such as steady-state error, transient response, stability analysis, root-locus techniques, frequency-response techniques (Nyquist and Bode) and controller design which require advanced mathematical",0
,,Mathematics content of an undergraduate course on deep learning,cp,Conference Paper,Shibberu Y.,Rose Hulman Institute Technology,Terre Haute,United States,"ASEE Annual Conference and Exposition, Conference Proceedings",Conference Proceeding,2020-June,,0,0,,"Deep learning, also known as neural networks, is a key AI technology that is increasingly important in science and engineering applications. Most of the undergraduate curriculum in science and engineering places emphasize on analytical models, often derived from first principles. In contrast, deep learning is based on empirical models learned from a large number of training examples. These empirical models are currently being used to solve challenging problems such as autonomous driving in unstructured environments or enabling",0
,,Incorporating visual components simulation software with the programming industrial robots course,cp,Conference Paper,Mikhail M.,Purdue University Northwest,Westville,United States,"ASEE Annual Conference and Exposition, Conference Proceedings",Conference Proceeding,2020-June,,0,0,,"Robotics software simulation capabilities are expanding every day, becoming a key part of the integration process for robot integrator with the technical understanding to leverage this technology. Robot simulation software provides many advantages over traditional CAD systems and features much more functionality. The advantages of using simulation are huge such: proof of concept and proof of design, reduced integration costs, and shorter system delivery times. One of most and poplar and powerful simulation software is Visual",1
,,Practical skills for students in mechatronics and robotics education,cp,Conference Paper,Berry C.A.,Rose Hulman Institute Technology,Terre Haute,United States,"ASEE Annual Conference and Exposition, Conference Proceedings",Conference Proceeding,2020-June,,1,0,,"In September 2019, the fourth and final workshop on the Future of Mechatronics and Robotics Education (FoMRE) was held at a Lawrence Technological University in Southfield, MI. This workshop was organized by faculty at several universities with financial support from industry partners and the National Science Foundation. The purpose of the workshops was to create a cohesive effort among mechatronics and robotics courses, minors and degree programs. Mechatronics and Robotics Engineering (MRE) is an",0
,,Student perception of mathematical modeling before and after completing a two joint robot computer simulation task (RTP),cp,Conference Paper,Johnston L.,Boise State University,Boise,United States,"ASEE Annual Conference and Exposition, Conference Proceedings",Conference Proceeding,2020-June,,0,0,,Engineers frequently utilize computer simulation as part of their design processes to model and understand the behavior of complex systems. Simulation is also an important tool for developing students' understanding of modeling and strengthening their intuition for problem solving in complex domains. This project uses a two-joint robot arm problem and accompanying computer simulation to demonstrate to AP BC Calculus students how and why we would use calculus concepts simultaneously in Cartesian and polar coordinate,0
10.2112/SI103-171.1,,Energy Optimization Control Algorithm of Underwater Vehicle Based on Model Predictive Control,ar,Article,Xin G.,University of Sanya,,China,Journal of Coastal Research,Journal,103,830-834,0,0,https://bioone.org/journals/journal-of-coastal-research/volume-103/issue-sp1/SI103-171.1/Energy-Optimization-Control-Algorithm-of-Underwater-Vehicle-Based-on-Model/10.2112/SI103-171.1.short,"In order to improve the accuracy of energy optimization control of underwater vehicle and improve the running stability of underwater vehicle, an energy optimization control method of underwater vehicle based on model predictive control is proposed. The underwater dynamics and kinematics model of underwater vehicle is constructed, and the fuzzy feedback error tracking fusion control law of underwater vehicle is constructed with phase offset and inertia torque as constraint parameters. Fuzzy parameter fusion and adaptive parameter adjustment methods are used to optimize the energy control and model prediction of underwater vehicle. The state adaptive correction and energy optimization control design of underwater motion of robot is realized by model parameter prediction and adaptive weighted information processing. The simulation results show that the energy optimization control design of underwater vehicle using this method has good adaptability, eliminates the angle and azimuth error of energy optimization control, reduces the energy cost of the robot, and improves the stability control accuracy of the energy output of the robot.",0
10.2112/SI103-164.1,,Improvement of Walking Performance of the Biped Robot Based on HSIC in Port Environment,ar,Article,Jing C.,Guizhou University of Finance and Economics,Guiyang,China,Journal of Coastal Research,Journal,103,793-797,0,0,https://bioone.org/journals/journal-of-coastal-research/volume-103/issue-sp1/SI103-164.1/Improvement-of-Walking-Performance-of-the-Biped-Robot-Based-on/10.2112/SI103-164.1.short,"The generation of walking patterns based on predictive control realizes the control with the use of future information, which also conforms to the principle of human walking process in accordance with future road conditions. However, the target ZMP of the predictive controller is always off-line programmed in advance. Due to the model error and environmental disturbance, gait tracking error of the biped robot in walking process is inevitable. Considering that human-simulated intelligent control (HSIC) can well suppress error, this study designed a human-simulated predictive control (HSPC) system by combining HSIC and predictive control. The control variables can be switched based on ZMP error state so as to realize the control of dynamic system. Therefore, actual ZMP output can well track the expected value of variable ZMP to realize the stable walking of the biped robot, and also adapt to the complex environments such as port robot operation. Finally, the effectiveness of the designed HSPC was validated through simulation.",0
10.1177/1729881420921607,,Transportable open-source application program interface and user interface for generic humanoids: TOUGH,ar,Article,Jagtap V.,Worcester Polytechnic Institute,Worcester,United States,International Journal of Advanced Robotic Systems,Journal,17,,0,1,https://journals.sagepub.com/doi/10.1177/1729881420921607,"Humanoid robotics is a complex and highly diverse field. Humanoid robots may have dozens of sensors and actuators that together realize complicated behaviors. Adding to the complexity is that each type of humanoid has unique application program interfaces, thus software written for one humanoid does not easily transport to others. This article introduces the transportable open-source application program interface and user interface for generic humanoids, a set of application program interfaces that simplifies the programming and operation of diverse humanoid robots. These application program interfaces allow for quick implementation of complex tasks and high-level controllers. Transportable open-source application program interface and user interface for generic humanoids has been developed for, and tested on, Boston Dynamics’ Atlas V5 and NASA’s Valkyrie R5 robots. It has proved successful for experiments on both robots in simulation and hardware, demonstrating the seamless integration of manipulation, perception, and task planning. To encourage the rapid adoption of transportable open-source application program interface and user interface for generic humanoids for education and research, the software is available as Docker images, which enable quick setup of multiuser simulation environments.",0
10.1136/tsaco-2019-000431,,Comparison of surgical cricothyroidotomy training: A randomized controlled trial of a swine model versus an animated robotic manikin model,ar,Article,Pandian V.,Johns Hopkins School of Nursing,Baltimore,United States,Trauma Surgery and Acute Care Open,Journal,5,,0,1,https://tsaco.bmj.com/content/5/1/e000431,"Background Airway obstruction remains a preventable cause of death on the battlefield. Surgical cricothyroidotomy is an essential skill for immediate airway management in trauma. Training for surgical cricothyroidotomy has been undertaken using simulators, cadavers or animal models. The ideal approach to training for this low volume and high-risk procedure is unknown. We hypothesized that current simulation technology provides an equal or better education for surgical cricothyroidotomy when compared with animal tissue training.

Methods We performed a prospective randomized controlled study comparing training for surgical cricothyroidotomy using hands-on training on swine versus inanimate manikin. We enrolled medical students who had never performed or had formal instruction on surgical cricothyroidotomy. We randomized their instruction to use either a swine model or the inanimate version of the Operative Experience Inc. advanced surgical manikin. Participants’ skills were then evaluated on human cadavers and on an advanced robotic manikin. Tests were scored using checklists modified from Objective Structured Assessment of Technical Skills and Tactical Combat Casualty Care. We compared scores between the groups using Wilcoxon rank sum tests and generalized linear models.

Results Forty-eight participants were enrolled and trained; 30 participants completed the first testing session; 25 completed the second testing session. The mean time to establish an airway from the incision until the cuff was blown up was 95±52 s. There were no significant differences in any of the outcome measures between the two training groups.

Discussion Measured performance was not different between subjects trained to perform surgical cricothyroidotomy on an animal model or a high fidelity manikin. The use of an advanced simulator has the potential to replace live tissue for this procedure mitigating concerns over animal rights.

Levels of evidence I",0
10.1109/Inforino48376.2020.9111843,,Introducing Virtual Reality in an Automated Manufacturing Systems course - First approach,cp,Conference Paper,Morano Okuno H.R.,Tecnologico de Monterrey,Monterrey,Mexico,"2020 5th International Conference on Information Technologies in Engineering Education, Inforino 2020 - Proceedings",Conference Proceeding,,,0,0,https://ieeexplore.ieee.org/document/9111843,"Currently, Information Technologies (IT) are widely used in the automation of manufacturing systems to exchange data between different workstations along the production lines. To manage the information that is handled, software applications are required that understand communications between various industrial equipment such as robots, CNC machines, parts storage systems, programmable logic controllers (PLC), vision systems and materials handling systems. To be able to perform simulations of the manufacturing processes and allow users to be present in a virtual way within the production systems, Virtual Reality (VR) is used. In recent years, the use of VR has become a key element, both in the Industrial area and in the field of Education. For students, they must know the advantages and disadvantages of the different software applications that allow generating production lines through VR; since in this way, they will know the scope of each of these computational tools. Nowadays, most Mechatronics Engineering curricula do not include a subject that involves the use of VR in the different areas of Mechatronics; Therefore, it is necessary to find alternatives for students to learn on their own, the applications that this technology has in their professional field. The above must be achieved without using the time of normal classes since the original syllabus would be neglected. This article shares the experiences obtained by introducing VR in a Manufacturing Systems Automation course through the use of Research-based learning methodology followed by a sequence of activities. To know the students' perception of the use of VR in their course, a survey was applied at the end of the semester.",0
10.1088/1742-6596/1464/1/012002,,Neural networks and behaviour based control for education botanical robot navigation,cp,Conference Paper,Burhanuddin A.,Universitas PGRI Semarang,Semarang,Indonesia,Journal of Physics: Conference Series,Conference Proceeding,1464,,0,1,https://iopscience.iop.org/article/10.1088/1742-6596/1464/1/012002,"The development of robots began when the military needed it as war equipment, and then it was used by some industries to develop production until now widely used for education and agriculture. Educational robots are usually more universal and simpler than industrial or military robots because robots for education are made only for simulations or prototypes. In this study, the authors surveyed prototypes of Educational botany robots, namely robots used to distinguish fruit maturity. In this journal, the behaviour-based control (BBC) algorithm will continue implemented into mobile robots. The movement of the mobile robot prepared in advance, and then actually the mobile robot is wheeled compared to the desired path. Besides, both kinematic and dynamic smelling mobile robots are derived and considered. In this study, only focused on mobile robots three-wheel differential drive, which will explore in a circular and straight path. In this journal, it can be found that image processing techniques can be used to determine the maturity of watermelons which are shown in different average values in each image obtained by the camera. The best models are generated by layer 32 hidden with an accuracy value of 87% at the training dataset level 60:10:30. The Behaviour Based Control Method has directional movements. But there was an error in each test so that I couldn't take the watermelon correctly. The error rate reaches 25% from 40 tests or about ten failures in the form of deviating from the object point.",0
10.1109/VRW50115.2020.00027,,A Formative Evaluation Methodology for VR Training Simulations,cp,Conference Paper,Moore A.G.,University of Central Florida,Orlando,United States,"Proceedings - 2020 IEEE Conference on Virtual Reality and 3D User Interfaces, VRW 2020",Conference Proceeding,,125-132,1,0,https://ieeexplore.ieee.org/document/9090539,"Virtual reality (VR) has a long history of being used to simulate real-world tasks, often for training and educational purposes. Yet, developing a VR system that is usable and effective is not trivial and is still a challenging task. In this paper, we present a methodology for formatively evaluating the usability of VR simulations based on capturing a real-world task, automating data logging, running a rigorous user study, analyzing subtask user performances, and inspecting those subtasks for which users performed worse in terms of usability. Using this methodology, we present the formative evaluation of a VR simulation designed for training troubleshooting skills during robotic surgeries. The results of our formative evaluation clearly demonstrated usability issues for some of our targeted training subtasks and we discuss how those issues will be addressed.",0
10.1007/s11465-019-0563-9,,Towards a next-generation production system for industrial robots: A CPS-based hybrid architecture for smart assembly shop floors with closed-loop dynamic cyber physical interactions,ar,Article,Tan Q.,Nanjing University of Science and Technology,Nanjing,China,Frontiers of Mechanical Engineering,Journal,15,,0,0,https://link.springer.com/article/10.1007%2Fs11465-019-0563-9,"Given the multiple varieties and small batches, the production of industrial robots faces the ongoing challenges of flexibility, self-organization, self-configuration, and other “smart” requirements. Recently, cyber physical systems have provided a promising solution for the requirements mentioned above. Despite recent progress, some critical issues have not been fully addressed at the shop floor level, including dynamic reorganization and reconfiguration, ubiquitous networking, and time constrained computing. Toward the next generation production system for industrial robots, this study proposed a hybrid architecture for smart assembly shop floors with closed-loop dynamic cyber physical interactions. Aiming for dynamic reorganization and reconfiguration, the study also proposed modularized smart assembly units for the deployment of physical assembly processes. Enabling technologies, such as multiagent system (MAS), self-organized wireless sensor actuator networks, and edge computing, were discussed and then integrated into the proposed architecture. Furthermore, a multijoint robot assembly process was selected as a target scenario. Thus, an MAS was developed to simulate the coordination and negotiation mechanisms for the proposed architecture on the basis of the Java Agent Development Framework platform.",0
10.3389/fnbot.2020.00014,,Small-Sized Reconfigurable Quadruped Robot With Multiple Sensory Feedback for Studying Adaptive and Versatile Behaviors,ar,Article,Sun T.,Nanjing University of Aeronautics and Astronautics,Nanjing,China,Frontiers in Neurorobotics,Journal,14,,2,1,https://www.frontiersin.org/articles/10.3389/fnbot.2020.00014/full,"Self-organization of locomotion characterizes the feature of automatically spontaneous gait generation without preprogrammed limb movement coordination. To study this feature in quadruped locomotion, we propose here a new open-source, small-sized reconfigurable quadruped robot, called Lilibot, with multiple sensory feedback and its physical simulation. Lilibot was designed as a friendly quadrupedal platform with unique characteristics, including light weight, easy handling, modular components, and multiple real-time sensory feedback. Its modular components can be flexibly reconfigured to obtain features, such as different leg orientations for testing the effectiveness and generalization of self-organized locomotion control. Its multiple sensory feedback (i.e., joint angles, joint velocities, joint currents, joint voltages, and body inclination) can support vestibular reflexes and compliant control mechanisms for body posture stabilization and compliant behavior, respectively. To evaluate the performance of Lilibot, we implemented our developed adaptive neural controller on it. The experimental results demonstrated that Lilibot can autonomously and rapidly exhibit adaptive and versatile behaviors, including spontaneous self-organized locomotion (i.e., adaptive locomotion) under different leg orientations, body posture stabilization on a tiltable plane, and leg compliance for unexpected external load compensation. To this end, we successfully developed an open-source, friendly, small-sized, and lightweight quadruped robot with reconfigurable legs and multiple sensory feedback that can serve as a generic quadrupedal platform for research and education in the fields of locomotion, vestibular reflex-based, and compliant control.",0
10.1155/2020/8090521,,Industry 4.0 Disruption and Its Neologisms in Major Industrial Sectors: A State of the Art,re,Review,Bongomin O.,Moi University,Eldoret,Kenya,Journal of Engineering (United Kingdom),Journal,2020,,0,1,https://www.hindawi.com/journals/je/2020/8090521/,"Very well into the dawn of the fourth industrial revolution (industry 4.0), humankind can hardly distinguish between what is artificial and what is natural (e.g., man-made virus and natural virus). Thus, the level of discombobulation among people, companies, or countries is indeed unprecedented. The fact that industry 4.0 is explosively disrupting or retrofitting each and every industrial sector makes industry 4.0 the famous buzzword amongst researchers today. However, the insight of industry 4.0 disruption into the industrial sectors remains ill-defined in both academic and nonacademic literature. The present study aimed at identifying industry 4.0 neologisms, understanding the industry 4.0 disruption and illustrating the disruptive technology convergence in the major industrial sectors. A total of 99 neologisms of industry 4.0 were identified. Industry 4.0 disruption in the education industry (education 4.0), energy industry (energy 4.0), agriculture industry (agriculture 4.0), healthcare industry (healthcare 4.0), and logistics industry (logistics 4.0) was described. The convergence of 12 disruptive technologies including 3D printing, artificial intelligence, augmented reality, big data, blockchain, cloud computing, drones, Internet of Things, nanotechnology, robotics, simulation, and synthetic biology in agriculture, healthcare, and logistics industries was illustrated. The study divulged the need for extensive research to expand the application areas of the disruptive technologies in the industrial sectors.",0
10.1115/IMECE2020-24492,,EXPERIENCES of TEACHING HANDS-ON CLASSES in PLACES WHERE THEY ARE RARE,cp,Conference Paper,Das S.,University of Detroit Mercy,Detroit,United States,"ASME International Mechanical Engineering Congress and Exposition, Proceedings (IMECE)",Conference Proceeding,9,,0,0,https://asmedigitalcollection.asme.org/IMECE/proceedings-abstract/IMECE2020/84577/V009T09A033/1099405,"Engineering education in many countries still follows a traditional model where the curriculum is broadly divided into lecture-based theory classes and laboratory classes where experiments are conducted by students using step by step instructions. This type of curriculum has heavy emphasis on theory and less on exploration, application and design. In this model, opportunities for students to do hands-on activities such as building hardware and deal with troubleshooting, writing simulation models and learning by failing, etc. are quite limited. Also, many instructors in these systems are uncomfortable to adopt more hands-on teaching for the fear of failure. In 2019, in China, I taught a freshmen-level course on Introduction to Robotics using Arduino-based hardware where the students had to work in teams to build and program a mobile robot using parts that were provided to them. In 2020, I taught two classes in India for junior/senior level students on Modeling and Simulation of Mechatronic Systems and Modeling and Simulation of Hybrid Vehicles, respectively. In both courses the students spent over 80% of class time developing models and running simulations. In all three courses, enrolling about 60 students each, extensive survey-based assessment showed students are hungry for this type of hands-on experience and would be embracing these types of classes with a lot of enthusiasm. This paper discusses the details of the three classes and results from all the survey-based assessments that were done in the courses.",1
10.1115/IMECE2020-24191,,DEVELOPMENT of EDUCATIONAL MOBILE SOCCER PLATFORM TEACHING MECHANICAL DESIGN and FABRICATION for MECHANICAL ENGINEERING,cp,Conference Paper,Lee H.J.,Hydrobot Tech and Research,Jeonju,South Korea,"ASME International Mechanical Engineering Congress and Exposition, Proceedings (IMECE)",Conference Proceeding,9,,0,0,https://asmedigitalcollection.asme.org/IMECE/proceedings-abstract/IMECE2020/84577/V009T09A036/1099407,"The mobile platform is an attractive educational tool that has brought to myriad effective benefits for a variety of the application fields. Furthermore, application of the mobile platform to engineering education has greatly assisted the engineering students’ firsthand experiences in college. However, most of the robotics classes offered today are concentrating on mechatronics and software education. For the advancement, this paper develops the mobile platform for the effective curriculum in teaching design and fabrication of robots in the house. The design of the proposed mobile platform bases on the knowledge of the majors subject from mechanical engineering. Through the dynamic simulation, the possibility of an introduction of the developed platform to robotics education is verified. Dynamic simulation experiments with the maximum velocity and acceleration of this system are carried out to check the application for educational purposes. As a final step, components of the platform are fabricated and assembled.",0
